Index;Labels;Section;Subsection
1a;Teardrops,pendent,horizontal panel;strokes and lines;strokes
1b;Teardrops,pendent,in groups,horizontal panel;strokes and lines;strokes
1c;Vertical bars,horizontal panel;strokes and lines;strokes
1d;Vertical bars,vertical panel;strokes and lines;strokes
1e;Bars,vertical,horizontal panel;strokes and lines;strokes
1f;Bars,horizontal,vertical panel;strokes and lines;strokes
1g;Bars,vertical,floating,horizontal panel;strokes and lines;strokes
1h;Vertical bars,enclosing shorter bars,horizontal panel;strokes and lines;strokes
1i;Vertical bars,thick,horizontal panel;strokes and lines;strokes
1j;Vertical lines;strokes and lines;strokes
1k;Vertical lines and bars,alternately thick and thin;strokes and lines;strokes
1l;Horizontal bars,in a framed pannel;strokes and lines;strokes
2a;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2b;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2c;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2d;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2e;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2f;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2g;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2i;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2j;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
2h;Horizontal bars,various filling ornaments,vertical panel;strokes and lines;strokes
3a;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3b;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3c;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3d;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3e;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3f;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3g;Vertical bars,various filling ornaments,horizontal panel;strokes and lines;strokes
3h;St. Andrew's crosses,alternating with vertical bars,simple,horizontal panel;strokes and lines;strokes
3i;St. Andrew's crosses,alternating with vertical bars,chevrons inserted,horizontal panel;strokes and lines;strokes
4a;Vertical and horizontal bars,in groups,horizontal panel;strokes and lines;strokes
4b;Groups of bars,crossing each other,filling ornament;strokes and lines;strokes
4c;Composition of vertical and horizontal bars;strokes and lines;strokes
4d;Comb-like patterns,vertical panel;strokes and lines;strokes
4e;Lines,free design,metopal;strokes and lines;strokes
5a;Bars,diagonally to right,horizontal panel;strokes and lines;strokes
5b;Bars,diagonally to left,horizontal panel;strokes and lines;strokes
5c;Bars,diagonally to right or left, vertical panel;strokes and lines;strokes
5d;Bars,diagonally to right or left, vertical panel;strokes and lines;strokes
5e;Stack of oblique half-lines,inclined to right or left,vertical panel;strokes and lines;strokes
5f;Stack of oblique half-lines,inclined to right or left,vertical panel;strokes and lines;strokes
6a;Opposed diagonals,horizontal panel;strokes and lines;strokes
6b;Opposed diagonals,vertical panel;strokes and lines;strokes
6c;Hatched triangles,interlocked,horizontal panel;strokes and lines;strokes
6d;Interlocked triangles,the apices hatched,horizontal panel;strokes and lines;strokes
6e;Large and small stacked triangles,the field hatched,metopal;strokes and lines;strokes
6f;Latticing,vertical panel;strokes and lines;strokes
7a;Opposed diagonals,separated by solid triangles,horizontal panel;strokes and lines;strokes
7b;Opposed diagonals,separated by solid triangles,horizontal panel;strokes and lines;strokes
7c;Opposed diagonals,separated by solid triangles,vertical panel;strokes and lines;strokes
7d;Opposed triangles,solid,between them cross-hatching,horizontal panel;strokes and lines;strokes
7e;Opposed groups of lines,obliquely disposed,horizontal panel;strokes and lines;strokes
