,metodo,f1-beta,hamming_score
blur,CC_LR,0.6352543456685099,0.1304
blur_rain_ref_rot_elastic1,CC_LR,0.6302708211997671,0.1273
gausblur1,CC_LR,0.6282870514820592,0.1272
elastic1,CC_LR,0.6265986084179308,0.1257
rain_ref_rot_elastic1,CC_LR,0.626140064572938,0.1299
blur_rain_ref_rot_crop1_randaug1_elastic1,CC_LR,0.6256385654946469,0.1317
blur_rain_ref_rot_crop1_elastic1,CC_LR,0.6242696766676378,0.1252
ref,CC_LR,0.6182049358680716,0.1269
rain,CC_LR,0.6175355862775218,0.1296
rain_ref_rot,CC_LR,0.6164471311832961,0.1257
randaug1,CC_LR,0.6142457141218967,0.1302
ref_rot,CC_LR,0.609828350071736,0.1284
rot,CC_LR,0.6050067481093659,0.1239
crop1,CC_LR,0.6012119329918787,0.1292
mtnblur,CC_LR,0.5942053053945608,0.1281
base,RakelD_LR,0.5682617886912823,0.1282
