Patterns set encontrado en ../patterns\blur
Labels set encontrado en ../labels\blur
Nombre del experimento: 26L_testval_weighted_1
Los resultados se guardar�n en: ../outputs\alexnet\blur\evo\26L_testval_weighted_1
Los resultados se guardar�n en: ../outputs\alexnet\blur\evo\26L_testval_weighted_1
Usando top_labels previamente generados para 26 labels
Usando device: NVIDIA GeForce GTX 1060
Valid Trial [0/10], LR: 0.0021, W: 4.183e-07, Avg Loss: 5.8678, Accuracy: 0.4892, F1 score: 0.2438, HS: 0.1422
Valid Trial [1/10], LR: 0.0004, W: 7.3048e-06, Avg Loss: 6.1587, Accuracy: 0.4882, F1 score: 0.2003, HS: 0.1110
Valid Trial [2/10], LR: 0.0016, W: 1.1605e-06, Avg Loss: 6.1143, Accuracy: 0.4822, F1 score: 0.1923, HS: 0.1056
Valid Trial [3/10], LR: 0.0036, W: 2.42129e-05, Avg Loss: 6.2692, Accuracy: 0.5044, F1 score: 0.1941, HS: 0.1109
Valid Trial [4/10], LR: 0.0001, W: 1.2327e-06, Avg Loss: 6.4625, Accuracy: 0.6095, F1 score: 0.2428, HS: 0.1388
Valid Trial [5/10], LR: 0.0026, W: 6.714e-07, Avg Loss: 7.0286, Accuracy: 0.5197, F1 score: 0.1843, HS: 0.1014
Valid Trial [6/10], LR: 0.0035, W: 1.9428e-06, Avg Loss: 5.8663, Accuracy: 0.4941, F1 score: 0.2274, HS: 0.1319
Valid Trial [7/10], LR: 0.0018, W: 5.965e-07, Avg Loss: 5.8106, Accuracy: 0.4941, F1 score: 0.2251, HS: 0.1300
Valid Trial [8/10], LR: 0.0004, W: 2.14243e-05, Avg Loss: 5.8530, Accuracy: 0.4546, F1 score: 0.2077, HS: 0.1164
Valid Trial [9/10], LR: 0.0001, W: 1.3621e-06, Avg Loss: 5.5682, Accuracy: 0.4236, F1 score: 0.2364, HS: 0.1349
Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 2.5557, Accuracy: 0.2545, F1 score: 0.2394, HS: 0.1352
Valid Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 3.4913, Accuracy: 0.3319, F1 score: 0.2773, HS: 0.1623

