Patterns set encontrado en ../patterns\base
Labels set encontrado en ../labels\base
Nombre del experimento: 26L_testval
Los resultados se guardarán en: ../outputs\alexnet\base\26L_testval
Los resultados se guardarán en: ../outputs\alexnet\base\26L_testval
Usando top_labels previamente generados para 26 labels
Usando device: NVIDIA GeForce GTX 1060
Valid Trial [0/10], LR: 0.0072, W: 3.452e-07, Avg Loss: 0.9571, Accuracy: 0.5419, F1 score: 0.2160, HS: 0.1223
Valid Trial [1/10], LR: 0.0013, W: 8.1726e-06, Avg Loss: 0.9622, Accuracy: 0.5069, F1 score: 0.2175, HS: 0.1231
Valid Trial [2/10], LR: 0.0066, W: 3.3729e-06, Avg Loss: 0.9401, Accuracy: 0.5148, F1 score: 0.1961, HS: 0.1110
Valid Trial [3/10], LR: 0.0008, W: 4.1769e-06, Avg Loss: 1.0269, Accuracy: 0.4463, F1 score: 0.2218, HS: 0.1243
Valid Trial [4/10], LR: 0.0037, W: 1.3446e-06, Avg Loss: 0.9650, Accuracy: 0.4985, F1 score: 0.2483, HS: 0.1443
Valid Trial [5/10], LR: 0.0002, W: 1.27276e-05, Avg Loss: 0.9457, Accuracy: 0.5321, F1 score: 0.2341, HS: 0.1349
Valid Trial [6/10], LR: 0.0019, W: 5.4778e-06, Avg Loss: 1.0233, Accuracy: 0.4541, F1 score: 0.2099, HS: 0.1191
Valid Trial [7/10], LR: 0.0035, W: 9.44e-07, Avg Loss: 0.9653, Accuracy: 0.5079, F1 score: 0.1779, HS: 0.0977
Valid Trial [8/10], LR: 0.0024, W: 2.67319e-05, Avg Loss: 0.9447, Accuracy: 0.5251, F1 score: 0.1955, HS: 0.1088
Valid Trial [9/10], LR: 0.0054, W: 2.0179e-06, Avg Loss: 0.9658, Accuracy: 0.5113, F1 score: 0.1870, HS: 0.1030

Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 1.1508, Accuracy: 0.8051, F1 score: 0.2277, HS: 0.1592
Valid Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 0.5270, Accuracy: 0.8748, F1 score: 0.2349, HS: 0.1416

Train Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 0.4138, Accuracy: 0.8860, F1 score: 0.3112, HS: 0.2110
Valid Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 0.4883, Accuracy: 0.8831, F1 score: 0.3361, HS: 0.2148

Train Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 0.3915, Accuracy: 0.8843, F1 score: 0.3074, HS: 0.2034
Valid Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 0.4489, Accuracy: 0.8752, F1 score: 0.3691, HS: 0.2652

Train Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 0.3591, Accuracy: 0.8916, F1 score: 0.3780, HS: 0.2617
Valid Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 0.4085, Accuracy: 0.8920, F1 score: 0.4000, HS: 0.2774

Train Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 0.3439, Accuracy: 0.8960, F1 score: 0.4086, HS: 0.2816
Valid Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 0.4025, Accuracy: 0.8876, F1 score: 0.3936, HS: 0.2812

Train Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 0.3242, Accuracy: 0.9001, F1 score: 0.4336, HS: 0.3020
Valid Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 0.3921, Accuracy: 0.8886, F1 score: 0.3430, HS: 0.2154

Train Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 0.3182, Accuracy: 0.9031, F1 score: 0.4507, HS: 0.3165
Valid Trial [6/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3798, Accuracy: 0.8930, F1 score: 0.4589, HS: 0.3163

Train Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2992, Accuracy: 0.9060, F1 score: 0.4902, HS: 0.3558
Valid Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3644, Accuracy: 0.8974, F1 score: 0.4639, HS: 0.3281

Train Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2941, Accuracy: 0.9096, F1 score: 0.5278, HS: 0.3794
Valid Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3761, Accuracy: 0.8955, F1 score: 0.4592, HS: 0.3354

Train Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2908, Accuracy: 0.9091, F1 score: 0.5157, HS: 0.3780
Valid Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3737, Accuracy: 0.8930, F1 score: 0.4182, HS: 0.2812

Train Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2920, Accuracy: 0.9114, F1 score: 0.5326, HS: 0.3909
Valid Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3663, Accuracy: 0.8895, F1 score: 0.4167, HS: 0.2948

Train Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2778, Accuracy: 0.9125, F1 score: 0.5537, HS: 0.4057
Valid Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3852, Accuracy: 0.8930, F1 score: 0.4213, HS: 0.2937

Train Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2861, Accuracy: 0.9121, F1 score: 0.5370, HS: 0.3894
Valid Trial [12/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3757, Accuracy: 0.8935, F1 score: 0.4953, HS: 0.3796

Train Trial [13/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2771, Accuracy: 0.9128, F1 score: 0.5581, HS: 0.4190
Valid Trial [13/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3585, Accuracy: 0.9009, F1 score: 0.4962, HS: 0.3629

Train Trial [14/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2707, Accuracy: 0.9155, F1 score: 0.5636, HS: 0.4186
Valid Trial [14/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3382, Accuracy: 0.9058, F1 score: 0.5261, HS: 0.3905

Train Trial [15/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2676, Accuracy: 0.9180, F1 score: 0.5909, HS: 0.4421
Valid Trial [15/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3375, Accuracy: 0.9029, F1 score: 0.5160, HS: 0.3924

Train Trial [16/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2584, Accuracy: 0.9183, F1 score: 0.5844, HS: 0.4319
Valid Trial [16/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3547, Accuracy: 0.9048, F1 score: 0.5187, HS: 0.3899

Train Trial [17/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2674, Accuracy: 0.9187, F1 score: 0.5956, HS: 0.4558
Valid Trial [17/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3462, Accuracy: 0.9043, F1 score: 0.5291, HS: 0.4023

Train Trial [18/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2713, Accuracy: 0.9165, F1 score: 0.5807, HS: 0.4356
Valid Trial [18/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 0.3298, Accuracy: 0.9078, F1 score: 0.5558, HS: 0.4255

Train Trial [19/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.2575, Accuracy: 0.9206, F1 score: 0.6002, HS: 0.4524
Valid Trial [19/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 0.3476, Accuracy: 0.9043, F1 score: 0.5245, HS: 0.4037

Train Trial [20/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.2578, Accuracy: 0.9207, F1 score: 0.6027, HS: 0.4561
Valid Trial [20/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 0.3284, Accuracy: 0.9078, F1 score: 0.5450, HS: 0.4146

Train Trial [21/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.2489, Accuracy: 0.9225, F1 score: 0.6221, HS: 0.4723
Valid Trial [21/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 0.3143, Accuracy: 0.9122, F1 score: 0.5762, HS: 0.4406

Train Trial [22/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.2516, Accuracy: 0.9215, F1 score: 0.6117, HS: 0.4639
Valid Trial [22/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 0.3193, Accuracy: 0.9112, F1 score: 0.5694, HS: 0.4378

Train Trial [23/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.2472, Accuracy: 0.9205, F1 score: 0.6054, HS: 0.4608
Valid Trial [23/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 0.3240, Accuracy: 0.9048, F1 score: 0.5643, HS: 0.4448

Train Trial [24/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.2480, Accuracy: 0.9206, F1 score: 0.6135, HS: 0.4625
Valid Trial [24/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 0.3219, Accuracy: 0.9122, F1 score: 0.5700, HS: 0.4182

Train Trial [25/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2402, Accuracy: 0.9231, F1 score: 0.6153, HS: 0.4623
Valid Trial [25/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 0.3180, Accuracy: 0.9078, F1 score: 0.5740, HS: 0.4403

Train Trial [26/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2370, Accuracy: 0.9240, F1 score: 0.6393, HS: 0.4896
Valid Trial [26/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 0.3072, Accuracy: 0.9177, F1 score: 0.5995, HS: 0.4602

Train Trial [27/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2340, Accuracy: 0.9267, F1 score: 0.6394, HS: 0.4888
Valid Trial [27/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 0.3181, Accuracy: 0.9122, F1 score: 0.5822, HS: 0.4453

Train Trial [28/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2318, Accuracy: 0.9260, F1 score: 0.6478, HS: 0.4884
Valid Trial [28/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 0.3122, Accuracy: 0.9122, F1 score: 0.5802, HS: 0.4402

Train Trial [29/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2369, Accuracy: 0.9249, F1 score: 0.6367, HS: 0.4919
Valid Trial [29/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 0.3087, Accuracy: 0.9142, F1 score: 0.5972, HS: 0.4639

Train Trial [30/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2349, Accuracy: 0.9253, F1 score: 0.6327, HS: 0.4894
Valid Trial [30/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 0.3083, Accuracy: 0.9147, F1 score: 0.6077, HS: 0.4682

Train Trial [31/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2328, Accuracy: 0.9270, F1 score: 0.6525, HS: 0.5001
Valid Trial [31/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 0.3058, Accuracy: 0.9132, F1 score: 0.5926, HS: 0.4505

Train Trial [32/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2280, Accuracy: 0.9278, F1 score: 0.6518, HS: 0.5000
Valid Trial [32/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 0.3075, Accuracy: 0.9142, F1 score: 0.5857, HS: 0.4511

Train Trial [33/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2245, Accuracy: 0.9270, F1 score: 0.6460, HS: 0.4986
Valid Trial [33/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 0.3025, Accuracy: 0.9137, F1 score: 0.6085, HS: 0.4720

Train Trial [34/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2298, Accuracy: 0.9280, F1 score: 0.6549, HS: 0.5076
Valid Trial [34/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 0.3034, Accuracy: 0.9167, F1 score: 0.6079, HS: 0.4635

Train Trial [35/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2309, Accuracy: 0.9268, F1 score: 0.6451, HS: 0.4897
Valid Trial [35/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 0.3228, Accuracy: 0.9127, F1 score: 0.6177, HS: 0.4830

Train Trial [36/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2368, Accuracy: 0.9266, F1 score: 0.6495, HS: 0.4905
Valid Trial [36/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 0.3226, Accuracy: 0.9048, F1 score: 0.5416, HS: 0.4060

Train Trial [37/200], LR: 0.000178, W: 0.01, Avg Loss: 0.2308, Accuracy: 0.9280, F1 score: 0.6474, HS: 0.4954
Valid Trial [37/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 0.2987, Accuracy: 0.9181, F1 score: 0.6327, HS: 0.4987

Train Trial [38/200], LR: 0.000178, W: 0.01, Avg Loss: 0.2188, Accuracy: 0.9295, F1 score: 0.6626, HS: 0.5132
Valid Trial [38/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 0.2976, Accuracy: 0.9147, F1 score: 0.6077, HS: 0.4791

Train Trial [39/200], LR: 0.000178, W: 0.01, Avg Loss: 0.2184, Accuracy: 0.9317, F1 score: 0.6789, HS: 0.5311
Valid Trial [39/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 0.2990, Accuracy: 0.9142, F1 score: 0.6009, HS: 0.4632

Train Trial [40/200], LR: 0.000178, W: 0.01, Avg Loss: 0.2162, Accuracy: 0.9311, F1 score: 0.6714, HS: 0.5219
Valid Trial [40/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 0.3055, Accuracy: 0.9147, F1 score: 0.6023, HS: 0.4661

Train Trial [41/200], LR: 0.000178, W: 0.01, Avg Loss: 0.2177, Accuracy: 0.9295, F1 score: 0.6646, HS: 0.5167
Valid Trial [41/200], LR: 0.00017797851562500002, W: 0.01, Avg Loss: 0.3002, Accuracy: 0.9152, F1 score: 0.6211, HS: 0.4792

Train Trial [42/200], LR: 0.000178, W: 0.01, Avg Loss: 0.2164, Accuracy: 0.9313, F1 score: 0.6763, HS: 0.5202
Valid Trial [42/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 0.3117, Accuracy: 0.9132, F1 score: 0.5945, HS: 0.4586

Train Trial [43/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.2148, Accuracy: 0.9316, F1 score: 0.6712, HS: 0.5329
Valid Trial [43/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 0.2954, Accuracy: 0.9191, F1 score: 0.6323, HS: 0.4975

Train Trial [44/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.2102, Accuracy: 0.9329, F1 score: 0.6855, HS: 0.5304
Valid Trial [44/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 0.3041, Accuracy: 0.9142, F1 score: 0.6116, HS: 0.4785

Train Trial [45/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.2110, Accuracy: 0.9318, F1 score: 0.6774, HS: 0.5196
Valid Trial [45/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 0.2974, Accuracy: 0.9172, F1 score: 0.6267, HS: 0.4889

Train Trial [46/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.2096, Accuracy: 0.9334, F1 score: 0.6835, HS: 0.5277
Valid Trial [46/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 0.2990, Accuracy: 0.9181, F1 score: 0.6278, HS: 0.4896

Train Trial [47/200], LR: 0.0001335, W: 0.01, Avg Loss: 0.2061, Accuracy: 0.9325, F1 score: 0.6867, HS: 0.5359
Valid Trial [47/200], LR: 0.00013348388671875002, W: 0.01, Avg Loss: 0.3131, Accuracy: 0.9167, F1 score: 0.6042, HS: 0.4666

Out of patience!
Best epoch: 37
Test Trial [1/1], LR: 0.0001, W: 0.001, Avg Loss: 3.1055, Accuracy: 0.9196, F1 score: 0.6116, HS: 0.4686
Predicciones guardadas en ../outputs\alexnet\base\26L_testval\predictions.csv
(234, 26)
(234, 26)
HS final: 0.4698921448921449
{'BATCH_SIZE': 100, 'optimizer': 'Adam', 'scheduler': 'ReduceLROnPlateau', 'criterion': 'BCEWithLogitsLoss', 'epochs': 200, 'best_epoch': 37, 'data_flags': 'base', 'use_pos_weights': False, 'pos_weights_factor': 1, 'NUM_LABELS': 26, 'use_testval': True, 'TH_TRAIN': 0.5, 'TH_VAL': 0.5, 'TH_TEST': 0.5, 'HS_FINAL': 0.4698921448921449, 'patience': 10}

========= * 40
========= * 40
========= * 40
========= * 40

Patterns set encontrado en ../patterns\ref
Labels set encontrado en ../labels\ref
Nombre del experimento: 26L_testval
Los resultados se guardarán en: ../outputs\alexnet\ref\26L_testval
Los resultados se guardarán en: ../outputs\alexnet\ref\26L_testval
Usando top_labels previamente generados para 26 labels
Usando device: NVIDIA GeForce GTX 1060
Valid Trial [0/10], LR: 0.0001, W: 1.88571e-05, Avg Loss: 4.8792, Accuracy: 0.5104, F1 score: 0.2248, HS: 0.1262
Valid Trial [1/10], LR: 0.0049, W: 1.38035e-05, Avg Loss: 5.1295, Accuracy: 0.5335, F1 score: 0.2169, HS: 0.1238
Patterns set encontrado en ../patterns\ref
Labels set encontrado en ../labels\ref
Nombre del experimento: 26L_testval
Los resultados se guardar�n en: ../outputs\alexnet\ref\26L_testval
Los resultados se guardar�n en: ../outputs\alexnet\ref\26L_testval
Usando top_labels previamente generados para 26 labels
Usando device: NVIDIA GeForce GTX 1060
Valid Trial [0/10], LR: 0.0001, W: 2.4815e-06, Avg Loss: 0.9699, Accuracy: 0.5010, F1 score: 0.2131, HS: 0.1179
Valid Trial [1/10], LR: 0.009, W: 9.386e-07, Avg Loss: 1.0359, Accuracy: 0.4630, F1 score: 0.2057, HS: 0.1162
Valid Trial [2/10], LR: 0.0002, W: 3.246e-07, Avg Loss: 0.9730, Accuracy: 0.5123, F1 score: 0.2363, HS: 0.1384
Valid Trial [3/10], LR: 0.0013, W: 1.0839e-06, Avg Loss: 0.9669, Accuracy: 0.4961, F1 score: 0.2407, HS: 0.1378
Valid Trial [4/10], LR: 0.0003, W: 1.58572e-05, Avg Loss: 0.9713, Accuracy: 0.4887, F1 score: 0.1711, HS: 0.0925
Valid Trial [5/10], LR: 0.005, W: 9.822e-07, Avg Loss: 1.0091, Accuracy: 0.4561, F1 score: 0.2138, HS: 0.1202
Valid Trial [6/10], LR: 0.0008, W: 1.3633e-06, Avg Loss: 1.0224, Accuracy: 0.4349, F1 score: 0.2401, HS: 0.1369
Valid Trial [7/10], LR: 0.0065, W: 2.1471e-06, Avg Loss: 0.9728, Accuracy: 0.5118, F1 score: 0.2466, HS: 0.1412
Valid Trial [8/10], LR: 0.0004, W: 1.5279e-06, Avg Loss: 0.9683, Accuracy: 0.4965, F1 score: 0.2200, HS: 0.1278
Valid Trial [9/10], LR: 0.0002, W: 1.11362e-05, Avg Loss: 0.9726, Accuracy: 0.4926, F1 score: 0.2029, HS: 0.1080
Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 0.5329, Accuracy: 0.8522, F1 score: 0.2460, HS: 0.1722
Valid Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 0.4243, Accuracy: 0.8895, F1 score: 0.3913, HS: 0.2407

Train Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 0.3210, Accuracy: 0.8978, F1 score: 0.3881, HS: 0.2602
Valid Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 0.3974, Accuracy: 0.8935, F1 score: 0.4194, HS: 0.2609

Train Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 0.2890, Accuracy: 0.9030, F1 score: 0.4516, HS: 0.3021
Valid Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 0.4249, Accuracy: 0.8960, F1 score: 0.4313, HS: 0.2805

Train Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 0.2790, Accuracy: 0.9099, F1 score: 0.5117, HS: 0.3616
Valid Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 0.3359, Accuracy: 0.9122, F1 score: 0.5973, HS: 0.4547

Train Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 0.2625, Accuracy: 0.9145, F1 score: 0.5592, HS: 0.4065
Valid Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 0.3655, Accuracy: 0.9019, F1 score: 0.5086, HS: 0.3692

Train Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 0.2801, Accuracy: 0.9101, F1 score: 0.5176, HS: 0.3639
Valid Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 0.3438, Accuracy: 0.9162, F1 score: 0.6083, HS: 0.4479

Train Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 0.2569, Accuracy: 0.9168, F1 score: 0.5734, HS: 0.4221
Valid Trial [6/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3218, Accuracy: 0.9177, F1 score: 0.6230, HS: 0.4688

Train Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2448, Accuracy: 0.9204, F1 score: 0.5935, HS: 0.4380
Valid Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3410, Accuracy: 0.9093, F1 score: 0.5598, HS: 0.3851

Train Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2553, Accuracy: 0.9175, F1 score: 0.5799, HS: 0.4202
Valid Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3362, Accuracy: 0.9093, F1 score: 0.5534, HS: 0.3971

Train Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2543, Accuracy: 0.9170, F1 score: 0.5739, HS: 0.4138
Valid Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3125, Accuracy: 0.9177, F1 score: 0.6143, HS: 0.4586

Train Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2458, Accuracy: 0.9205, F1 score: 0.5908, HS: 0.4329
Valid Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3100, Accuracy: 0.9117, F1 score: 0.5808, HS: 0.4482

Train Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2453, Accuracy: 0.9196, F1 score: 0.5919, HS: 0.4341
Valid Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 0.3276, Accuracy: 0.9162, F1 score: 0.6101, HS: 0.4637

Train Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 0.2444, Accuracy: 0.9202, F1 score: 0.5929, HS: 0.4391
Valid Trial [12/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3106, Accuracy: 0.9181, F1 score: 0.6175, HS: 0.4579

Train Trial [13/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2395, Accuracy: 0.9214, F1 score: 0.6031, HS: 0.4414
Valid Trial [13/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3276, Accuracy: 0.9162, F1 score: 0.5991, HS: 0.4269

Train Trial [14/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2358, Accuracy: 0.9223, F1 score: 0.6076, HS: 0.4480
Valid Trial [14/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3325, Accuracy: 0.9098, F1 score: 0.5850, HS: 0.4179

Train Trial [15/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2422, Accuracy: 0.9200, F1 score: 0.5975, HS: 0.4450
Valid Trial [15/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3227, Accuracy: 0.9093, F1 score: 0.5681, HS: 0.4225

Train Trial [16/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.2330, Accuracy: 0.9220, F1 score: 0.6068, HS: 0.4425
Valid Trial [16/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 0.3087, Accuracy: 0.9137, F1 score: 0.5783, HS: 0.4268

Out of patience!
Best epoch: 6
Test Trial [1/1], LR: 0.0001, W: 0.001, Avg Loss: 3.1776, Accuracy: 0.9127, F1 score: 0.5534, HS: 0.4024
