Patterns set encontrado en ../patterns\blur
Labels set encontrado en ../labels\blur
Nombre del experimento: 26L_testval_weighted_1
Los resultados se guardarán en: ../outputs\alexnet\blur\26L_testval_weighted_1
Los resultados se guardarán en: ../outputs\alexnet\blur\26L_testval_weighted_1
Usando top_labels previamente generados para 26 labels
Usando device: NVIDIA GeForce GTX 1060
Valid Trial [0/10], LR: 0.0001, W: 2.11342e-05, Avg Loss: 5.4919, Accuracy: 0.4793, F1 score: 0.1927, HS: 0.1139
Valid Trial [1/10], LR: 0.0021, W: 1.88376e-05, Avg Loss: 5.4765, Accuracy: 0.4576, F1 score: 0.1654, HS: 0.0896
Valid Trial [2/10], LR: 0.0003, W: 4.1067e-06, Avg Loss: 5.0846, Accuracy: 0.5173, F1 score: 0.1982, HS: 0.1114
Valid Trial [3/10], LR: 0.0085, W: 3.3975e-06, Avg Loss: 4.8543, Accuracy: 0.5104, F1 score: 0.2163, HS: 0.1220
Valid Trial [4/10], LR: 0.0007, W: 4.1423e-06, Avg Loss: 5.4936, Accuracy: 0.4788, F1 score: 0.1644, HS: 0.0901
Valid Trial [5/10], LR: 0.0099, W: 1.19417e-05, Avg Loss: 5.2139, Accuracy: 0.5197, F1 score: 0.2158, HS: 0.1186
Valid Trial [6/10], LR: 0.0011, W: 1.2711e-06, Avg Loss: 5.7453, Accuracy: 0.4803, F1 score: 0.1568, HS: 0.0873
Valid Trial [7/10], LR: 0.0006, W: 6.461e-07, Avg Loss: 5.1309, Accuracy: 0.5108, F1 score: 0.2286, HS: 0.1298
Valid Trial [8/10], LR: 0.0019, W: 7.317e-07, Avg Loss: 5.2724, Accuracy: 0.5281, F1 score: 0.2136, HS: 0.1223
Valid Trial [9/10], LR: 0.0039, W: 3.2401e-06, Avg Loss: 4.6848, Accuracy: 0.5365, F1 score: 0.2419, HS: 0.1399
Train Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 2.4233, Accuracy: 0.2473, F1 score: 0.2412, HS: 0.1372
Valid Trial [0/200], LR: 0.001, W: 0.01, Avg Loss: 2.8353, Accuracy: 0.3452, F1 score: 0.2790, HS: 0.1691

Train Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 1.8774, Accuracy: 0.3241, F1 score: 0.2711, HS: 0.1633
Valid Trial [1/200], LR: 0.001, W: 0.01, Avg Loss: 2.5077, Accuracy: 0.4255, F1 score: 0.3053, HS: 0.1876

Train Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 1.6531, Accuracy: 0.4357, F1 score: 0.3068, HS: 0.1871
Valid Trial [2/200], LR: 0.001, W: 0.01, Avg Loss: 2.1182, Accuracy: 0.4980, F1 score: 0.3407, HS: 0.2154

Train Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 1.4022, Accuracy: 0.5658, F1 score: 0.3628, HS: 0.2310
Valid Trial [3/200], LR: 0.001, W: 0.01, Avg Loss: 2.0853, Accuracy: 0.5636, F1 score: 0.3692, HS: 0.2331

Train Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 1.3205, Accuracy: 0.6020, F1 score: 0.3848, HS: 0.2499
Valid Trial [4/200], LR: 0.001, W: 0.01, Avg Loss: 2.3665, Accuracy: 0.6154, F1 score: 0.3916, HS: 0.2604

Train Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 1.2930, Accuracy: 0.6217, F1 score: 0.3972, HS: 0.2549
Valid Trial [5/200], LR: 0.001, W: 0.01, Avg Loss: 2.3930, Accuracy: 0.6381, F1 score: 0.4052, HS: 0.2659

Train Trial [6/200], LR: 0.001, W: 0.01, Avg Loss: 1.1542, Accuracy: 0.6641, F1 score: 0.4265, HS: 0.2809
Valid Trial [6/200], LR: 0.00075, W: 0.01, Avg Loss: 2.2583, Accuracy: 0.6603, F1 score: 0.4215, HS: 0.2763

Train Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 1.0112, Accuracy: 0.7203, F1 score: 0.4738, HS: 0.3221
Valid Trial [7/200], LR: 0.00075, W: 0.01, Avg Loss: 2.2821, Accuracy: 0.6987, F1 score: 0.4520, HS: 0.2971

Train Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 0.9337, Accuracy: 0.7330, F1 score: 0.4866, HS: 0.3321
Valid Trial [8/200], LR: 0.00075, W: 0.01, Avg Loss: 2.1665, Accuracy: 0.7357, F1 score: 0.4885, HS: 0.3361

Train Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 0.8658, Accuracy: 0.7701, F1 score: 0.5230, HS: 0.3707
Valid Trial [9/200], LR: 0.00075, W: 0.01, Avg Loss: 2.9055, Accuracy: 0.7530, F1 score: 0.4934, HS: 0.3389

Train Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 0.8212, Accuracy: 0.7834, F1 score: 0.5384, HS: 0.3815
Valid Trial [10/200], LR: 0.00075, W: 0.01, Avg Loss: 2.2226, Accuracy: 0.7510, F1 score: 0.4925, HS: 0.3361

Train Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 0.8310, Accuracy: 0.7901, F1 score: 0.5465, HS: 0.3901
Valid Trial [11/200], LR: 0.00075, W: 0.01, Avg Loss: 2.2482, Accuracy: 0.7618, F1 score: 0.5056, HS: 0.3682

Train Trial [12/200], LR: 0.00075, W: 0.01, Avg Loss: 0.8308, Accuracy: 0.7840, F1 score: 0.5390, HS: 0.3877
Valid Trial [12/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.5007, Accuracy: 0.7638, F1 score: 0.5127, HS: 0.3640

Train Trial [13/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.7111, Accuracy: 0.8088, F1 score: 0.5705, HS: 0.4174
Valid Trial [13/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.9754, Accuracy: 0.8072, F1 score: 0.5490, HS: 0.3988

Train Trial [14/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.5970, Accuracy: 0.8466, F1 score: 0.6237, HS: 0.4741
Valid Trial [14/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.7014, Accuracy: 0.7870, F1 score: 0.5200, HS: 0.3649

Train Trial [15/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.5873, Accuracy: 0.8475, F1 score: 0.6252, HS: 0.4677
Valid Trial [15/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.0870, Accuracy: 0.8190, F1 score: 0.5584, HS: 0.4002

Train Trial [16/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.6070, Accuracy: 0.8453, F1 score: 0.6222, HS: 0.4652
Valid Trial [16/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 2.8592, Accuracy: 0.8388, F1 score: 0.5948, HS: 0.4412

Train Trial [17/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.5478, Accuracy: 0.8618, F1 score: 0.6488, HS: 0.4977
Valid Trial [17/200], LR: 0.0005625000000000001, W: 0.01, Avg Loss: 3.0977, Accuracy: 0.8176, F1 score: 0.5606, HS: 0.4018

Train Trial [18/200], LR: 0.0005625, W: 0.01, Avg Loss: 0.5370, Accuracy: 0.8729, F1 score: 0.6673, HS: 0.5179
Valid Trial [18/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.8049, Accuracy: 0.8457, F1 score: 0.6003, HS: 0.4398

Train Trial [19/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.4901, Accuracy: 0.8781, F1 score: 0.6777, HS: 0.5290
Valid Trial [19/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.2532, Accuracy: 0.8314, F1 score: 0.5746, HS: 0.4244

Train Trial [20/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.4325, Accuracy: 0.8960, F1 score: 0.7114, HS: 0.5741
Valid Trial [20/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.6644, Accuracy: 0.8565, F1 score: 0.6104, HS: 0.4657

Train Trial [21/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.4181, Accuracy: 0.8964, F1 score: 0.7120, HS: 0.5764
Valid Trial [21/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.2172, Accuracy: 0.8393, F1 score: 0.5925, HS: 0.4408

Train Trial [22/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.4181, Accuracy: 0.8966, F1 score: 0.7123, HS: 0.5737
Valid Trial [22/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.3994, Accuracy: 0.8466, F1 score: 0.5977, HS: 0.4418

Train Trial [23/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.4133, Accuracy: 0.8977, F1 score: 0.7144, HS: 0.5730
Valid Trial [23/200], LR: 0.00042187500000000005, W: 0.01, Avg Loss: 3.1764, Accuracy: 0.8565, F1 score: 0.6135, HS: 0.4644

Train Trial [24/200], LR: 0.0004219, W: 0.01, Avg Loss: 0.3983, Accuracy: 0.9054, F1 score: 0.7304, HS: 0.5901
Valid Trial [24/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 3.6703, Accuracy: 0.8378, F1 score: 0.5862, HS: 0.4324

Train Trial [25/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.3910, Accuracy: 0.9024, F1 score: 0.7242, HS: 0.5881
Valid Trial [25/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.5457, Accuracy: 0.8629, F1 score: 0.6181, HS: 0.4681

Train Trial [26/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.3341, Accuracy: 0.9184, F1 score: 0.7588, HS: 0.6419
Valid Trial [26/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 3.9956, Accuracy: 0.8634, F1 score: 0.6252, HS: 0.4829

Train Trial [27/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.3158, Accuracy: 0.9243, F1 score: 0.7722, HS: 0.6501
Valid Trial [27/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.0574, Accuracy: 0.8674, F1 score: 0.6269, HS: 0.4815

Train Trial [28/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.3515, Accuracy: 0.9134, F1 score: 0.7478, HS: 0.6155
Valid Trial [28/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.4743, Accuracy: 0.8708, F1 score: 0.6310, HS: 0.4723

Train Trial [29/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.3375, Accuracy: 0.9153, F1 score: 0.7517, HS: 0.6219
Valid Trial [29/200], LR: 0.00031640625000000006, W: 0.01, Avg Loss: 4.2778, Accuracy: 0.8718, F1 score: 0.6389, HS: 0.4913

Train Trial [30/200], LR: 0.0003164, W: 0.01, Avg Loss: 0.2943, Accuracy: 0.9315, F1 score: 0.7897, HS: 0.6697
Valid Trial [30/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 3.9940, Accuracy: 0.8757, F1 score: 0.6490, HS: 0.4891

Train Trial [31/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2734, Accuracy: 0.9353, F1 score: 0.7989, HS: 0.6786
Valid Trial [31/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 4.1468, Accuracy: 0.8836, F1 score: 0.6599, HS: 0.5094

Train Trial [32/200], LR: 0.0002373, W: 0.01, Avg Loss: 0.2374, Accuracy: 0.9396, F1 score: 0.8104, HS: 0.7067
Valid Trial [32/200], LR: 0.00023730468750000005, W: 0.01, Avg Loss: 5.2533, Accuracy: 0.8900, F1 score: 0.6616, HS: 0.5246

