data_flags,f1,recall,precision,acc,hl,emr,hs,mr1,mr2,mr3,mr4,mr5,f1-beta
base,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
blur,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
crop1,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
elastic1,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
gausblur1,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
mtnblur,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
rain,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
rain_ref_rot,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
randaug1,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
ref,0.3536,0.2813,0.4762,0.0529,0.1339,0.0529,0.2669,0.5322,0.4201,0.0,0.0,0.0,0.30637907689492705
ref_rot,0.2648,0.211,0.3557,0.0387,0.1332,0.0387,0.2006,0.3956,0.3157,0.0,0.0,0.0,0.22968753825437627
blur_rain_ref_rot_crop1_elastic1,0.264,0.1834,0.509,0.0168,0.1306,0.0168,0.18,0.5271,0.0928,0.0,0.0,0.0,0.21030593854194826
blur_rain_ref_rot_crop1_randaug1_elastic1,0.2075,0.1473,0.3795,0.0245,0.1302,0.0245,0.1528,0.3956,0.1044,0.0,0.0,0.0,0.16783867771572689
rot,0.178,0.1413,0.2404,0.0387,0.1317,0.0387,0.1499,0.2693,0.2113,0.0,0.0,0.0,0.15399637319793275
rain_ref_rot_elastic1,0.172,0.1372,0.2307,0.0322,0.1332,0.0322,0.1389,0.2616,0.1997,0.0,0.0,0.0,0.14930207547169808
blur_rain_ref_rot_elastic1,0.1206,0.078,0.2655,0.0154,0.129,0.0154,0.0933,0.2655,0.0,0.0,0.0,0.0,0.09082894736842105
