,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0003,9.977e-07,4.675973073030129,193.0,3342.0,3456.0,185.0,0.49261427,0.052891202,0.51058203,0.09585299489755765
1,1,0.0003,3.00818e-05,4.127112718728872,193.0,3667.0,3131.0,185.0,0.53790414,0.058062576,0.51058203,0.10426796748898066
2,2,0.0049,9.2938e-06,4.454511556869898,188.0,3599.0,3199.0,190.0,0.5277313,0.05550635,0.4973545,0.09986719939461802
3,3,0.0017,5.212e-07,4.3659054316007175,179.0,3337.0,3461.0,199.0,0.48996654,0.049175825,0.47354499,0.08909905300006841
4,4,0.0018,2.21924e-05,4.52493551449898,190.0,3212.0,3586.0,188.0,0.47408026,0.050317798,0.5026455,0.09147809249249637
5,5,0.0007,9.9643e-06,3.87039215136797,224.0,3482.0,3316.0,154.0,0.5164437,0.063276835,0.5925926,0.11434404843187218
6,6,0.0003,1.47642e-05,4.480748604505489,180.0,3460.0,3338.0,198.0,0.5072464,0.051165435,0.47619048,0.09240246806917701
7,7,0.0005,4.4612e-06,4.04441876289172,202.0,3530.0,3268.0,176.0,0.5200669,0.058213256,0.5343915,0.10498960598286626
8,8,0.0022,2.035e-06,4.54800648567004,171.0,3551.0,3247.0,207.0,0.51867336,0.050029255,0.45238096,0.09009482984134028
9,9,0.0004,4.503e-07,4.632396881396954,182.0,3449.0,3349.0,196.0,0.5059922,0.05154347,0.4814815,0.0931184391135762
