,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0072,3.452e-07,0.957059478148436,128.0,971.0,781.0,148.0,0.5419132,0.14081408,0.46376812,0.21603376683861097
1,1,0.0013,8.1726e-06,0.9621787529725294,139.0,889.0,863.0,137.0,0.50690335,0.13872255,0.5036232,0.21752738505302097
2,2,0.0066,3.3729e-06,0.9401160172927074,120.0,924.0,828.0,156.0,0.5147929,0.12658228,0.4347826,0.19607843215327017
3,3,0.0008,4.1769e-06,1.0268660692068248,160.0,745.0,1007.0,116.0,0.44625247,0.13710369,0.5797101,0.22176022397876624
4,4,0.0037,1.3446e-06,0.9650324399654683,168.0,843.0,909.0,108.0,0.4985207,0.15598886,0.6086956,0.24833702631878632
5,5,0.0002,1.27276e-05,0.9457076207185402,145.0,934.0,818.0,131.0,0.53205127,0.15057114,0.5253623,0.23405972179527812
6,6,0.0019,5.4778e-06,1.0232892556068225,147.0,774.0,978.0,129.0,0.454142,0.13066667,0.5326087,0.20985011206952175
7,7,0.0035,9.44e-07,0.9653465105937077,108.0,922.0,830.0,168.0,0.50788957,0.11513859,0.39130434,0.1779242257760717
8,8,0.0024,2.67319e-05,0.9446883048766699,117.0,948.0,804.0,159.0,0.5251479,0.12703583,0.42391303,0.1954887104165702
9,9,0.0054,2.0179e-06,0.9658244939950796,114.0,923.0,829.0,162.0,0.5113412,0.120890774,0.41304347,0.18703855131710115
