,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0006,6.4375e-06,4.737348128587772,151.0,765.0,987.0,125.0,0.45167652,0.13268892,0.54710144,0.21357848625908485
1,1,0.0003,5.852e-07,4.8403587096776715,138.0,863.0,889.0,138.0,0.49358973,0.13437195,0.5,0.2118188771111891
2,2,0.0002,6.229e-07,4.524209866156944,148.0,906.0,846.0,128.0,0.5197239,0.14889336,0.5362319,0.2330708511396848
3,3,0.0005,3.855e-07,4.793141132745987,150.0,925.0,827.0,126.0,0.5300789,0.15353122,0.54347825,0.23942538565906024
4,4,0.009,4.829e-07,4.88511385061802,120.0,835.0,917.0,156.0,0.4709073,0.11571842,0.4347826,0.18278751962185713
5,5,0.0075,3.426e-07,4.857108226189247,145.0,885.0,867.0,131.0,0.50788957,0.14328063,0.5253623,0.22515527991836667
6,6,0.0003,1.77802e-05,4.8741230597862835,146.0,793.0,959.0,130.0,0.46301776,0.1321267,0.5289855,0.21144100925906056
7,7,0.0018,1.65129e-05,6.019868606176132,88.0,888.0,864.0,188.0,0.48126233,0.09243698,0.3188406,0.14332248082181506
8,8,0.0019,2.622e-06,5.511747262416742,122.0,770.0,982.0,154.0,0.4398422,0.11050725,0.442029,0.17681160612382713
9,9,0.0051,7.0763e-06,5.2739614095443335,109.0,887.0,865.0,167.0,0.49112427,0.11190965,0.39492753,0.17440000178753773
