,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0001,1.6573e-06,1.2111265384233916,198.0,6909.0,7030.0,215.0,0.49519232,0.02739347,0.47941887,0.05182567859200978
1,1,0.0003,1.60134e-05,1.2327971641833966,234.0,6708.0,7231.0,179.0,0.48369566,0.031346284,0.56658596,0.05940594522051135
2,2,0.0071,1.57082e-05,1.1946442830256927,198.0,6978.0,6961.0,215.0,0.5,0.027657494,0.47941887,0.05229793748449866
3,3,0.0006,2.3224e-06,1.2474436148619041,216.0,6546.0,7393.0,197.0,0.47115386,0.028387437,0.52300245,0.053851908086306605
4,4,0.005,3.563e-07,1.2183982164431841,210.0,6667.0,7272.0,203.0,0.47916666,0.028067362,0.5084746,0.053198229386070155
5,5,0.0011,6.595e-07,1.2056501095111554,203.0,6913.0,7026.0,210.0,0.4958194,0.028081339,0.4915254,0.05312745015660928
6,6,0.0005,3.8396e-06,1.2131564983954797,187.0,6981.0,6958.0,226.0,0.49944258,0.026172148,0.4527845,0.0494839881715766
7,7,0.0003,6.0851e-06,1.1786752266761584,210.0,7203.0,6736.0,203.0,0.5165134,0.030233229,0.5084746,0.05707297643387924
8,8,0.0008,1.61759e-05,1.179128918892298,242.0,7194.0,6745.0,171.0,0.51811594,0.034635752,0.5859564,0.0654054091758127
9,9,0.0004,2.6458e-06,1.174477341847542,207.0,7266.0,6673.0,206.0,0.52069396,0.030087208,0.50121063,0.056766756567615755
