,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.005,1.6235e-06,10.443504357949282,223.0,3080.0,2866.0,149.0,0.52279204,0.07219165,0.5994624,0.12886449465034563
1,1,0.0009,1.73558e-05,11.291635904556665,217.0,2838.0,3108.0,155.0,0.4835391,0.06526316,0.5833333,0.11739248613467654
2,2,0.0007,1.79948e-05,11.648885360130896,176.0,2863.0,3083.0,196.0,0.48100665,0.054004297,0.47311828,0.09694299406274491
3,3,0.0001,5.7183e-06,11.614148531204615,215.0,2940.0,3006.0,157.0,0.49936688,0.06674945,0.577957,0.11967714657557765
4,4,0.0059,2.53558e-05,10.061812376364683,228.0,2930.0,3016.0,144.0,0.49984172,0.0702836,0.61290324,0.12610619044382673
5,5,0.0002,1.2042e-06,11.526906209114271,173.0,2795.0,3151.0,199.0,0.4697689,0.05204573,0.46505377,0.09361471945676844
6,6,0.0012,1.7402e-06,10.498569023914825,192.0,2772.0,3174.0,180.0,0.4691358,0.057040997,0.516129,0.10272872815521562
7,7,0.0001,2.1297e-06,11.691686312357586,171.0,3181.0,2765.0,201.0,0.5305476,0.058242507,0.45967743,0.10338572610655344
8,8,0.0002,2.2993e-06,10.90955883417374,216.0,3093.0,2853.0,156.0,0.52374166,0.07038123,0.58064514,0.12554490034708457
9,9,0.0057,2.75816e-05,10.97751563634628,190.0,3110.0,2836.0,182.0,0.5223172,0.06278916,0.5107527,0.11183049041121089
