,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0004,2.9244e-06,0.9630038952216124,137.0,901.0,851.0,139.0,0.5118343,0.13866396,0.4963768,0.21677214447313628
1,1,0.0011,2.38505e-05,0.9146641462277144,125.0,991.0,761.0,151.0,0.5502958,0.14108352,0.45289856,0.2151462876526562
2,2,0.0025,8.351e-07,0.982998196895306,148.0,813.0,939.0,128.0,0.47386587,0.13615455,0.5362319,0.21716800499114777
3,3,0.0041,2.54741e-05,0.9477325739004674,160.0,900.0,852.0,116.0,0.5226824,0.15810277,0.5797101,0.24844720007664936
4,4,0.0001,1.14091e-05,0.9831395668861194,146.0,850.0,902.0,130.0,0.49112427,0.13931298,0.5289855,0.22054381803087855
5,5,0.0003,1.68439e-05,0.9679038555194169,101.0,938.0,814.0,175.0,0.51232743,0.11038251,0.36594203,0.16960537265059938
6,6,0.0062,1.2992e-06,1.020785554861411,140.0,792.0,960.0,136.0,0.4595661,0.12727273,0.5072464,0.20348835898557358
7,7,0.008,4.234e-07,0.9701070877221915,139.0,870.0,882.0,137.0,0.4975345,0.13614103,0.5036232,0.21434079237435227
8,8,0.0004,1.35494e-05,1.0147939889858932,155.0,818.0,934.0,121.0,0.47978303,0.14233242,0.5615942,0.22710623408489586
9,9,0.0004,6.931e-07,0.9196264621538993,124.0,982.0,770.0,152.0,0.5453649,0.13870247,0.44927537,0.2119658226445571
