,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0032,6.485e-07,5.863122120881692,159.0,878.0,874.0,117.0,0.5113412,0.15392062,0.57608694,0.24293355440713013
1,1,0.0002,3.2802e-06,6.649005351922451,139.0,976.0,776.0,137.0,0.5498028,0.15191257,0.5036232,0.23341728749557308
2,2,0.006,3.9017e-06,5.798260052998861,148.0,876.0,876.0,128.0,0.504931,0.14453125,0.5362319,0.22769231375385135
3,3,0.0007,7.1856e-06,6.384828371879382,101.0,827.0,925.0,175.0,0.45759368,0.09844054,0.36594203,0.15514591620356033
4,4,0.0002,2.63502e-05,6.165860665150178,141.0,894.0,858.0,135.0,0.51035506,0.14114115,0.51086956,0.22117648408563767
5,5,0.0006,5.791e-07,6.544951023199619,122.0,864.0,888.0,154.0,0.4861933,0.120792076,0.442029,0.18973560008179977
6,6,0.0002,4.8209e-06,6.541993874769944,138.0,897.0,855.0,138.0,0.51035506,0.1389728,0.5,0.21749407776078492
7,7,0.0006,1.51377e-05,5.5573858725718965,147.0,884.0,868.0,129.0,0.5083826,0.14482759,0.5326087,0.2277304464081855
8,8,0.0005,1.5087e-06,5.927895118028689,148.0,767.0,985.0,128.0,0.45118344,0.13062665,0.5362319,0.2100780476991928
9,9,0.0007,9.7938e-06,6.903634707132975,124.0,939.0,813.0,152.0,0.52416176,0.13233724,0.44927537,0.2044517792872193
