,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0039,5.098e-07,13.368566855406149,181.0,5493.0,4944.0,224.0,0.52333516,0.035317075,0.44691357,0.06546112796045973
1,1,0.0043,3.145e-07,13.98082772279397,187.0,5036.0,5401.0,218.0,0.48173767,0.033464566,0.4617284,0.06240614045519483
2,2,0.0001,2.3398e-06,11.997536267989721,195.0,5111.0,5326.0,210.0,0.48939312,0.03531969,0.4814815,0.06581168037312791
3,3,0.0017,4e-07,12.859479464017427,228.0,5782.0,4655.0,177.0,0.55432576,0.046692606,0.56296295,0.0862329777814017
4,4,0.0017,6.065e-07,13.026459424923628,169.0,5406.0,5031.0,236.0,0.514204,0.0325,0.41728395,0.06030330063552507
5,5,0.0017,2.4244e-06,12.095879456935785,212.0,5231.0,5206.0,193.0,0.5020291,0.03912883,0.5234568,0.07281469533526137
6,6,0.0028,2.439e-06,12.688501553657728,210.0,4799.0,5638.0,195.0,0.46199962,0.035909712,0.5185185,0.067167758108625
7,7,0.0004,2.7512e-06,13.22000748071915,191.0,5007.0,5430.0,214.0,0.47943184,0.033979718,0.47160494,0.06339196737018236
8,8,0.0014,2.7367e-06,12.145183709951548,208.0,5395.0,5042.0,197.0,0.5167866,0.039619047,0.51358026,0.073563217260717
9,9,0.0012,2.0564e-05,11.590013014964569,193.0,5204.0,5233.0,212.0,0.49778637,0.03556948,0.47654322,0.06619791196864461
