,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0014,2.71548e-05,1.196092535287906,211.0,7136.0,6803.0,202.0,0.51191473,0.030082691,0.5108959,0.05681970961694514
1,1,0.0003,3.319e-07,1.1845664978027344,214.0,7210.0,6729.0,199.0,0.5172798,0.030822411,0.5181598,0.05818379574031206
2,2,0.0002,9.768e-07,1.1836936045915654,198.0,7182.0,6757.0,215.0,0.51421404,0.028468728,0.47941887,0.05374592987980199
3,3,0.0004,7.0744e-06,1.231286183381692,222.0,6670.0,7269.0,191.0,0.48021182,0.029635563,0.53753024,0.05617409263217145
4,4,0.0084,7.363e-07,1.232950290044149,234.0,6686.0,7253.0,179.0,0.48216277,0.031254172,0.56658596,0.059240502555659255
5,5,0.001,2.22738e-05,1.194123503489372,231.0,7053.0,6886.0,182.0,0.5075251,0.032457497,0.55932206,0.061354587837955575
6,6,0.0005,4.9725e-06,1.1995455423990884,210.0,7015.0,6924.0,203.0,0.50341415,0.0294365,0.5084746,0.055651248314200735
7,7,0.0013,1.35775e-05,1.1888364920249352,207.0,7048.0,6891.0,206.0,0.5055045,0.029163145,0.50121063,0.055119159700366196
8,8,0.0012,3.456e-07,1.2063391758845403,199.0,7034.0,6905.0,214.0,0.5039716,0.028012387,0.4818402,0.05294665349997375
9,9,0.0042,6.555e-07,1.1823366024555304,201.0,7276.0,6663.0,212.0,0.52097267,0.029283216,0.4866828,0.055242544365355264
