,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0017,4.6668e-06,1.039570417159643,148.0,732.0,1020.0,128.0,0.43392506,0.12671232,0.5362319,0.20498614142792382
1,1,0.0008,1.462e-06,0.9738137324651083,182.0,840.0,912.0,94.0,0.50394475,0.16636197,0.6594203,0.2656934172483862
2,2,0.0057,1.0041e-06,0.9739674818821443,155.0,883.0,869.0,121.0,0.5118343,0.15136719,0.5615942,0.23846152913675508
3,3,0.0099,3.3807e-06,1.025232596275134,153.0,714.0,1038.0,123.0,0.4275148,0.12846348,0.5543478,0.20858896361557838
4,4,0.0004,2.2443e-06,0.9946563304998937,123.0,888.0,864.0,153.0,0.4985207,0.12462006,0.4456522,0.19477433742133984
5,5,0.0026,6.428e-07,0.9553209329262757,156.0,905.0,847.0,120.0,0.52317554,0.1555334,0.5652174,0.24394057338818306
6,6,0.0005,5.0454e-06,0.9643005254941109,145.0,875.0,877.0,131.0,0.5029586,0.14187866,0.5253623,0.22342063644775276
7,7,0.007,3.9978e-06,0.91534707790766,149.0,975.0,777.0,127.0,0.55424064,0.16090713,0.53985506,0.2479201254690993
8,8,0.005,4.4364e-06,0.9680043428372115,151.0,872.0,880.0,125.0,0.50443786,0.14645974,0.54710144,0.23106348765463397
9,9,0.008,2.7047e-06,0.9393760791191688,172.0,904.0,848.0,104.0,0.530572,0.16862746,0.6231884,0.26543210434142434
