,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0012,6.9822e-06,4.918047709342761,138.0,760.0,992.0,138.0,0.4428008,0.1221239,0.5,0.19630156894745077
1,1,0.0006,1.44135e-05,5.297562403556628,143.0,958.0,794.0,133.0,0.5428994,0.15261473,0.51811594,0.2357790722877016
2,2,0.0002,7.615e-07,4.786833127339682,141.0,946.0,806.0,135.0,0.5359961,0.14889124,0.51086956,0.2305805428699199
3,3,0.0005,6.467e-07,4.953079040233906,122.0,926.0,826.0,154.0,0.5167653,0.12869199,0.442029,0.19934641214006024
4,4,0.0001,1.2834e-06,4.425432437505478,156.0,772.0,980.0,120.0,0.45759368,0.13732395,0.5652174,0.22096317472728555
5,5,0.0053,2.17044e-05,4.753108819325766,145.0,760.0,992.0,131.0,0.44625247,0.12752858,0.5253623,0.2052370561450879
6,6,0.0012,1.48457e-05,4.9847355255713826,112.0,1008.0,744.0,164.0,0.55226827,0.13084112,0.4057971,0.19787985954031273
7,7,0.0003,6.8974e-06,5.118649433820675,134.0,902.0,850.0,142.0,0.5108481,0.13617887,0.48550725,0.2126984221338077
8,8,0.0079,9.2018e-06,4.6347792331989,170.0,723.0,1029.0,106.0,0.4403353,0.14178482,0.615942,0.23050846777663578
9,9,0.008,3.1544e-06,5.199233690897623,137.0,941.0,811.0,139.0,0.53155816,0.14451477,0.4963768,0.22385622024378612
