,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0051,1.4193e-06,5.99154317073333,157.0,808.0,944.0,119.0,0.47583827,0.14259765,0.56884056,0.2280319785133184
1,1,0.0026,9.3094e-06,6.44765394161909,135.0,847.0,905.0,141.0,0.48422092,0.1298077,0.48913044,0.2051671701788289
2,2,0.0029,2.0519e-05,6.239432334899902,149.0,768.0,984.0,127.0,0.45216963,0.13150927,0.53985506,0.21149753844766125
3,3,0.0005,4.7713e-06,6.2102808096469975,121.0,840.0,912.0,155.0,0.47386587,0.117134556,0.4384058,0.1848739450717945
4,4,0.0032,2.202e-06,6.1749485333760585,149.0,909.0,843.0,127.0,0.52169627,0.15020162,0.53985506,0.23501578097696946
5,5,0.0009,4.7752e-06,5.860329469045004,154.0,824.0,928.0,122.0,0.4822485,0.14232902,0.557971,0.22680412985351625
6,6,0.0061,3.6701e-06,6.65256893940461,122.0,979.0,773.0,154.0,0.5428994,0.13631284,0.442029,0.20836891523684614
7,7,0.0004,4.801e-07,6.604583691328,113.0,1083.0,669.0,163.0,0.5897436,0.14450128,0.40942028,0.2136105842060624
8,8,0.0002,2.67619e-05,5.495588975074964,172.0,775.0,977.0,104.0,0.46696252,0.14969538,0.6231884,0.24140349405151817
9,9,0.001,3.8486e-06,6.278792503552559,132.0,976.0,776.0,144.0,0.5463511,0.14537445,0.47826087,0.22297298330552706
