,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0006,3.02527e-05,0.9425549935071896,116.0,961.0,791.0,160.0,0.5310651,0.12789416,0.42028984,0.19611156983547465
1,1,0.0028,5.4871e-06,0.9838927250642042,163.0,865.0,887.0,113.0,0.50690335,0.15523809,0.5905797,0.24585218943947235
2,2,0.0005,3.7788e-06,0.9825922739811433,151.0,868.0,884.0,125.0,0.5024655,0.14589372,0.54710144,0.2303584990534579
3,3,0.0011,1.7112e-06,1.0276219019523034,134.0,794.0,958.0,142.0,0.45759368,0.12271062,0.48550725,0.1959064318888991
4,4,0.0005,3.9676e-06,0.9850259010608379,173.0,809.0,943.0,103.0,0.48422092,0.15501793,0.6268116,0.24856323011120823
5,5,0.0001,9.9738e-06,0.9069492419560751,123.0,1028.0,724.0,153.0,0.56755424,0.14521842,0.4456522,0.21905609551097913
6,6,0.0001,2.9228e-06,0.9816765021055173,149.0,827.0,925.0,127.0,0.48126233,0.1387337,0.53985506,0.22074073569829325
7,7,0.0009,8.2329e-06,0.9877262207177969,163.0,812.0,940.0,113.0,0.48076922,0.14777878,0.5905797,0.23640317737091932
8,8,0.0022,2.6927e-06,0.9711144826351067,170.0,832.0,920.0,106.0,0.49408284,0.1559633,0.615942,0.24890190837024462
9,9,0.0006,8.2611e-06,0.9264789330653654,141.0,915.0,837.0,135.0,0.52071005,0.14417177,0.51086956,0.22488036601311948
