,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0011,2.521e-06,5.793223625574356,124.0,844.0,908.0,152.0,0.47731754,0.12015504,0.44927537,0.1896024392008045
1,1,0.0083,2.0604e-06,4.887517598959116,150.0,780.0,972.0,126.0,0.45857987,0.13368984,0.54347825,0.21459227382812862
2,2,0.0061,1.64024e-05,4.4679586703960705,159.0,954.0,798.0,117.0,0.54881656,0.1661442,0.57608694,0.25790756319256775
3,3,0.0078,4.443e-07,4.945929845174154,138.0,925.0,827.0,138.0,0.52416176,0.14300518,0.5,0.2224012793296747
4,4,0.0082,1.8622e-06,4.567249004657452,175.0,693.0,1059.0,101.0,0.4280079,0.14181523,0.634058,0.23178807501855458
5,5,0.0004,2.54378e-05,5.28867122454521,134.0,919.0,833.0,142.0,0.5192308,0.1385729,0.48550725,0.21560738116322622
6,6,0.0015,2.3191e-06,5.092491247715094,130.0,994.0,758.0,146.0,0.55424064,0.1463964,0.4710145,0.22336769759450173
7,7,0.0049,1.77604e-05,5.50998602157984,100.0,900.0,852.0,176.0,0.49309665,0.10504202,0.36231884,0.1628664513288715
8,8,0.0001,6.103e-07,4.81869196280455,142.0,767.0,985.0,134.0,0.44822484,0.12599823,0.51449275,0.20242337927065598
9,9,0.0001,5.2388e-06,5.379622410505245,122.0,882.0,870.0,154.0,0.49506903,0.12298387,0.442029,0.19242902699058362
