,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.001,8.0956e-06,0.9954627507772201,150.0,811.0,941.0,126.0,0.47386587,0.13748854,0.54347825,0.21945867940651886
1,1,0.0008,1.22119e-05,1.0338134490526638,127.0,748.0,1004.0,149.0,0.43145958,0.11229001,0.46014494,0.18052593929631455
2,2,0.0048,1.53062e-05,0.9376191940063086,123.0,944.0,808.0,153.0,0.52613413,0.132116,0.4456522,0.20381109270672593
3,3,0.0002,4.4955e-06,0.9762066297042065,155.0,865.0,887.0,121.0,0.5029586,0.1487524,0.5615942,0.23520487029392906
4,4,0.0031,1.68495e-05,1.0262652849539733,118.0,771.0,981.0,158.0,0.43836293,0.10737034,0.42753622,0.17163635696069296
5,5,0.001,1.7124e-06,0.9296594521938225,126.0,947.0,805.0,150.0,0.5290927,0.13533835,0.45652175,0.20878210612235032
6,6,0.0008,1.8586e-06,1.028737655052772,144.0,763.0,989.0,132.0,0.44723865,0.1270962,0.5217391,0.20440028845314703
7,7,0.0057,2.54716e-05,1.048940496566968,142.0,774.0,978.0,134.0,0.45167652,0.12678571,0.51449275,0.2034384057354738
8,8,0.0012,2.37972e-05,1.0136830501067333,139.0,835.0,917.0,137.0,0.48027614,0.13162878,0.5036232,0.20870870145321344
9,9,0.0022,7.482e-07,0.9128926656185051,121.0,978.0,774.0,155.0,0.5419132,0.13519552,0.4384058,0.2066609616691921
