,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0015,3.196e-07,4.912162438417092,141.0,873.0,879.0,135.0,0.5,0.1382353,0.51086956,0.2175926146988312
1,1,0.0046,1.65744e-05,4.798655020884979,156.0,769.0,983.0,120.0,0.4561144,0.13696225,0.5652174,0.22049469556735515
2,2,0.0002,7.592e-07,4.429200979379507,148.0,830.0,922.0,128.0,0.4822485,0.13831776,0.5362319,0.21991086028047024
3,3,0.0092,2.73766e-05,5.2437244317470455,136.0,709.0,1043.0,140.0,0.41666666,0.11535199,0.49275362,0.18694157916450171
4,4,0.0006,6.684e-07,4.857793526771741,138.0,778.0,974.0,138.0,0.45167652,0.12410072,0.5,0.19884725891067365
5,5,0.0013,9.829e-07,4.907915531060635,149.0,849.0,903.0,127.0,0.49211046,0.14163499,0.53985506,0.22439759510337423
6,6,0.0006,1.6524e-06,5.216420613802397,123.0,843.0,909.0,153.0,0.47633135,0.119186044,0.4456522,0.188073390743945
7,7,0.0005,1.1254e-06,4.8656894610478325,120.0,905.0,847.0,156.0,0.5054241,0.12409514,0.4347826,0.1930812660535821
8,8,0.0006,9.1601e-06,4.894973987188095,125.0,890.0,862.0,151.0,0.5004931,0.1266464,0.45289856,0.1979414003752487
9,9,0.0005,5.9352e-06,5.080090730618208,139.0,947.0,805.0,137.0,0.535503,0.14724576,0.5036232,0.22786885418546857
