,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0006,2.01287e-05,0.9523100577867948,126.0,884.0,868.0,150.0,0.49802762,0.12676056,0.45652175,0.19842519093634453
1,1,0.0001,1.0092e-06,1.0195340101535504,126.0,846.0,906.0,150.0,0.47928995,0.12209302,0.45652175,0.19266055423899658
2,2,0.0003,4.642e-07,0.9469502247296847,128.0,952.0,800.0,148.0,0.5325444,0.13793103,0.46376812,0.2126245822493221
3,3,0.0027,3.1462e-06,1.0284446752988377,157.0,803.0,949.0,119.0,0.4733728,0.14195298,0.56884056,0.22720692852417546
4,4,0.0006,1.36829e-05,0.9006354289177136,116.0,1010.0,742.0,160.0,0.5552268,0.13519813,0.42028984,0.20458552308686415
5,5,0.0005,2.192e-06,0.9993537114216732,123.0,852.0,900.0,153.0,0.48076922,0.1202346,0.4456522,0.18937644071179655
6,6,0.0005,6.59e-07,1.0188502378952808,145.0,779.0,973.0,131.0,0.4556213,0.12969589,0.5253623,0.20803443805048075
7,7,0.0075,4.8e-07,1.0450509114143176,144.0,783.0,969.0,132.0,0.4571006,0.12938005,0.5217391,0.2073434037287004
8,8,0.0071,7.477e-07,0.8961227459785266,166.0,964.0,788.0,110.0,0.55719924,0.1740042,0.60144925,0.2699186968435697
9,9,0.0029,4.335e-07,1.0227991984440732,126.0,779.0,973.0,150.0,0.44625247,0.11464968,0.45652175,0.18327274476643557
