,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0004,7.8938e-06,4.642088596637432,122.0,829.0,923.0,154.0,0.46893492,0.11674641,0.442029,0.18470854948256454
1,1,0.0013,4.948e-07,4.959350977188501,151.0,913.0,839.0,125.0,0.5246548,0.15252525,0.54710144,0.23854658560880465
2,2,0.0012,3.6911e-06,5.297446250915527,100.0,877.0,875.0,176.0,0.48175544,0.102564104,0.36231884,0.1598721043038787
3,3,0.0036,8.7855e-06,5.078274470109205,137.0,947.0,805.0,139.0,0.53451675,0.14543524,0.4963768,0.22495892854821126
4,4,0.0006,8.638e-07,5.302580808981871,128.0,892.0,860.0,148.0,0.5029586,0.12955466,0.46376812,0.20253166369039965
5,5,0.0076,3.4222e-06,5.131138288057768,173.0,768.0,984.0,103.0,0.46400395,0.14952463,0.6268116,0.24145149381243924
6,6,0.0009,6.732e-07,5.871896866040352,103.0,974.0,778.0,173.0,0.5310651,0.116912596,0.3731884,0.17804666398014576
7,7,0.0001,4.0137e-06,4.356203935085199,145.0,965.0,787.0,131.0,0.5473373,0.1555794,0.5253623,0.24006622371634653
8,8,0.0003,2.98517e-05,5.716750560662685,97.0,939.0,813.0,179.0,0.5108481,0.10659341,0.35144928,0.16357503974465562
9,9,0.0006,7.7825e-06,5.053995205805852,155.0,895.0,857.0,121.0,0.51775146,0.15316206,0.5615942,0.24068324379858602
