,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0002,1.4118e-06,1.010169967626914,123.0,836.0,916.0,153.0,0.47287968,0.11838306,0.4456522,0.1870722458271694
1,1,0.0069,1.38828e-05,0.9794102265284611,129.0,851.0,901.0,147.0,0.4832347,0.12524273,0.4673913,0.19754977974401244
2,2,0.0003,1.9642e-06,0.9509804921272473,155.0,898.0,854.0,121.0,0.5192308,0.15361744,0.5615942,0.2412451267828183
3,3,0.0041,9.491e-06,0.9472457262185904,124.0,939.0,813.0,152.0,0.52416176,0.13233724,0.44927537,0.2044517792872193
4,4,0.0024,1.237e-06,0.9220875990696443,171.0,912.0,840.0,105.0,0.53402364,0.16913946,0.6195652,0.2657342641488217
5,5,0.0018,1.29628e-05,0.9537302530728854,167.0,877.0,875.0,109.0,0.5147929,0.16026871,0.60507244,0.25341425204126944
6,6,0.0064,1.2438e-06,0.9975641965866089,142.0,798.0,954.0,134.0,0.46351084,0.12956205,0.51449275,0.20699710127652296
7,7,0.0007,2.29717e-05,0.9755094846089681,139.0,890.0,862.0,137.0,0.50739646,0.13886113,0.5036232,0.21769773778844945
8,8,0.0007,1.2919e-06,1.0539521009494095,106.0,864.0,888.0,170.0,0.47830376,0.10663984,0.38405797,0.16692913113238522
9,9,0.0057,1.33518e-05,0.944504676721035,110.0,945.0,807.0,166.0,0.52021694,0.11995638,0.39855072,0.1844090501943533
