,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0008,1.53396e-05,0.904120772312849,149.0,952.0,800.0,127.0,0.5428994,0.15700738,0.53985506,0.24326531303490118
1,1,0.0004,8.382e-07,0.979028527553265,153.0,876.0,876.0,123.0,0.50739646,0.14868805,0.5543478,0.23448276826827405
2,2,0.0011,4.257e-07,0.9456098843843509,134.0,931.0,821.0,142.0,0.5251479,0.14031413,0.48550725,0.21770918059267358
3,3,0.0098,3.886e-07,0.978183593505468,137.0,843.0,909.0,139.0,0.4832347,0.13097514,0.4963768,0.20726172063498155
4,4,0.0005,2.76625e-05,1.0095310516846485,122.0,800.0,952.0,154.0,0.4546351,0.11359404,0.442029,0.18074074256839445
5,5,0.0002,3.684e-07,0.9471735893151698,127.0,962.0,790.0,149.0,0.53698224,0.13849509,0.46014494,0.21290862071866687
6,6,0.001,3.5147e-06,1.0159734732065444,174.0,765.0,987.0,102.0,0.46301776,0.1498708,0.6304348,0.24217118914190403
7,7,0.0004,3.287e-07,0.9780549850219336,155.0,834.0,918.0,121.0,0.4876726,0.1444548,0.5615942,0.2297998798872419
8,8,0.0012,1.8204e-06,0.9615683402770605,131.0,855.0,897.0,145.0,0.4861933,0.1274319,0.4746377,0.2009202234579131
9,9,0.0002,9.4904e-06,1.0488644624367738,178.0,757.0,995.0,98.0,0.46104535,0.15174766,0.64492756,0.24568668378673278
