,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0002,9.6455e-06,4.911176363627115,139.0,944.0,808.0,137.0,0.53402364,0.1467793,0.5036232,0.2273098842250184
1,1,0.0006,1.25982e-05,5.36493766002166,138.0,864.0,888.0,138.0,0.49408284,0.13450292,0.5,0.21198156876832283
2,2,0.001,3.749e-07,4.475408333998461,161.0,877.0,875.0,115.0,0.5118343,0.1554054,0.5833333,0.24542683185117548
3,3,0.0094,3.5572e-06,5.074654787014692,131.0,903.0,849.0,145.0,0.50986195,0.13367347,0.4746377,0.20859873063937961
4,4,0.0001,2.25227e-05,5.637913483839769,119.0,923.0,829.0,157.0,0.5138067,0.12552743,0.4311594,0.19444445485406045
5,5,0.0001,2.8604e-06,5.039403683099991,146.0,832.0,920.0,130.0,0.4822485,0.1369606,0.5289855,0.2175856742877877
6,6,0.0003,1.1265e-06,4.895210266113281,141.0,815.0,937.0,135.0,0.47140038,0.13079777,0.51086956,0.20827177031732796
7,7,0.0006,1.1498e-06,4.824679631453295,170.0,758.0,994.0,106.0,0.45759368,0.14604811,0.615942,0.23611111654321748
8,8,0.0004,1.8313e-06,5.489962528913448,93.0,1033.0,719.0,183.0,0.5552268,0.114532016,0.33695653,0.17095588405170303
9,9,0.0007,2.63055e-05,5.19114641042856,121.0,925.0,827.0,155.0,0.5157791,0.12763713,0.4384058,0.1977124109881142
