,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0003,6.161e-07,0.982960065205892,137.0,915.0,837.0,139.0,0.5187377,0.14065708,0.4963768,0.21920000224558148
1,1,0.0072,3.6375e-06,0.9370240645530896,112.0,968.0,784.0,164.0,0.5325444,0.125,0.4057971,0.1911262683180282
2,2,0.0024,4.7651e-06,0.9383872533455873,151.0,936.0,816.0,125.0,0.5359961,0.15615305,0.54710144,0.2429605941424495
3,3,0.0002,3.891e-07,0.9802458377984854,161.0,828.0,924.0,115.0,0.4876726,0.14838709,0.5833333,0.23659073375207748
4,4,0.0001,5.5746e-06,0.9964340772384253,136.0,868.0,884.0,140.0,0.49506903,0.13333334,0.49275362,0.20987655555085893
5,5,0.0001,3.1838e-06,0.9519256842442049,105.0,946.0,806.0,171.0,0.51824456,0.115257956,0.38043478,0.17691659339729093
6,6,0.0018,2.32965e-05,0.9725594367736425,129.0,870.0,882.0,147.0,0.49260354,0.12759644,0.4673913,0.20046620557434114
7,7,0.0002,2.0954e-06,0.970908006032308,124.0,864.0,888.0,152.0,0.4871795,0.12252964,0.44927537,0.19254658409372546
8,8,0.0005,1.2762e-06,0.9936823294712948,105.0,864.0,888.0,171.0,0.47781065,0.10574018,0.38043478,0.16548462683113344
9,9,0.0053,3.515e-07,0.8862411364530907,127.0,1038.0,714.0,149.0,0.5744576,0.1510107,0.46014494,0.2273948187397657
