,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0002,1.02642e-05,5.033836609277969,135.0,838.0,914.0,141.0,0.47978303,0.128694,0.48913044,0.20377359273288162
1,1,0.0001,3.9268e-06,4.787771518413837,165.0,877.0,875.0,111.0,0.5138067,0.15865384,0.59782606,0.25075987105514524
2,2,0.0001,4.549e-07,4.678014302865053,155.0,723.0,1029.0,121.0,0.43293884,0.13091215,0.5615942,0.21232876623899755
3,3,0.004,3.08438e-05,5.047421883314083,164.0,822.0,930.0,112.0,0.4861933,0.14990859,0.5942029,0.23941605330740598
4,4,0.0023,2.12815e-05,4.984059089269394,153.0,874.0,878.0,123.0,0.50641024,0.1483996,0.5543478,0.23412394419237423
5,5,0.002,8.3582e-06,5.319960300738995,131.0,724.0,1028.0,145.0,0.42159763,0.113028474,0.4746377,0.1825784033352124
6,6,0.0002,4.707e-07,5.181212914295685,124.0,929.0,823.0,152.0,0.5192308,0.13093981,0.44927537,0.20278004408285835
7,7,0.0027,3.889e-07,5.188797681759565,133.0,862.0,890.0,143.0,0.49063116,0.13000977,0.48188406,0.20477290050775018
8,8,0.0035,3.0246e-06,4.667828021905361,156.0,786.0,966.0,120.0,0.46449703,0.13903743,0.5652174,0.22317595585774033
9,9,0.0002,1.36298e-05,4.735968357477432,162.0,886.0,866.0,114.0,0.5167653,0.15758754,0.5869565,0.24846626184337098
