,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.005,6.342e-07,0.9393293123978834,134.0,971.0,781.0,142.0,0.5448718,0.14644809,0.48550725,0.22502101165098523
1,1,0.0007,8.764e-07,1.009241128579164,164.0,794.0,958.0,112.0,0.4723866,0.14616756,0.5942029,0.23462088073322113
2,2,0.0001,5.2996e-06,1.008500961156992,143.0,815.0,937.0,133.0,0.4723866,0.13240741,0.51811594,0.21091445542598564
3,3,0.0002,4.962e-07,1.0036003895294971,153.0,807.0,945.0,123.0,0.4733728,0.13934426,0.5543478,0.22270740754043014
4,4,0.0032,6.618e-07,0.9828980916585678,140.0,862.0,890.0,136.0,0.49408284,0.13592233,0.5072464,0.21439510202417295
5,5,0.0001,2.50123e-05,0.9905072358938364,117.0,854.0,898.0,159.0,0.47879684,0.115270935,0.42391303,0.18125484053404342
6,6,0.0093,5.587e-07,0.9911043521685478,149.0,831.0,921.0,127.0,0.4832347,0.13925233,0.53985506,0.22139670999300304
7,7,0.0003,1.1328e-06,0.8884024925720997,126.0,1034.0,718.0,150.0,0.5719921,0.1492891,0.45652175,0.225
8,8,0.0024,6.697e-07,0.9452919929455489,146.0,898.0,854.0,130.0,0.5147929,0.146,0.5289855,0.22884011819457103
9,9,0.0053,4.846e-07,0.9206687792753563,125.0,955.0,797.0,151.0,0.5325444,0.13557483,0.45289856,0.2086811356692456
