,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0039,1.2214e-06,5.288397348844088,130.0,894.0,858.0,146.0,0.504931,0.13157895,0.4710145,0.205696220217135
1,1,0.0005,5.08e-07,4.80346863086407,175.0,742.0,1010.0,101.0,0.45216963,0.14767933,0.634058,0.23956194622251012
2,2,0.0038,2.0286e-06,5.302545963189541,111.0,991.0,761.0,165.0,0.5433925,0.12729357,0.4021739,0.19337979103882813
3,3,0.0007,7.6445e-06,4.806054555452787,155.0,797.0,955.0,121.0,0.469428,0.13963965,0.5615942,0.22366521198236902
4,4,0.0005,1.6698e-06,4.901478535089737,147.0,902.0,850.0,129.0,0.5172584,0.14744233,0.5326087,0.2309505140646327
5,5,0.0002,1.1049e-06,5.158988634745279,119.0,977.0,775.0,157.0,0.54043394,0.13310961,0.4311594,0.20341879617355824
6,6,0.0003,2.5305e-06,4.851745336483686,156.0,867.0,885.0,120.0,0.50443786,0.14985591,0.5652174,0.23690205476580317
7,7,0.0001,2.4354e-06,5.167520963228666,136.0,900.0,852.0,140.0,0.5108481,0.13765182,0.49275362,0.21518987281930568
8,8,0.0002,2.2234e-06,5.0613718155102845,135.0,715.0,1037.0,141.0,0.41913214,0.11518771,0.48913044,0.18646408846590554
9,9,0.0084,2.70512e-05,4.538135039500702,171.0,803.0,949.0,105.0,0.48027614,0.15267856,0.6195652,0.2449856631239339
