,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0027,2.15039e-05,0.9574562311172485,144.0,860.0,892.0,132.0,0.49506903,0.13899614,0.5217391,0.21951220887341052
1,1,0.0018,5.3875e-06,1.0234496532342372,135.0,833.0,919.0,141.0,0.47731754,0.1280835,0.48913044,0.20300752805468825
2,2,0.0048,1.0044e-06,0.9297557366199983,125.0,963.0,789.0,151.0,0.5364891,0.13676149,0.45289856,0.21008402883535934
3,3,0.0056,5.541e-07,0.9703389345071254,130.0,877.0,875.0,146.0,0.49654832,0.12935324,0.4710145,0.20296645102670152
4,4,0.0001,1.5602e-06,0.9514010105377588,125.0,890.0,862.0,151.0,0.5004931,0.1266464,0.45289856,0.1979414003752487
5,5,0.0004,3.667e-07,0.9890644214092156,158.0,806.0,946.0,118.0,0.47534516,0.14311594,0.57246375,0.22898549698532372
6,6,0.0006,1.206e-06,0.9440900423587898,130.0,982.0,770.0,146.0,0.54832345,0.14444445,0.4710145,0.22108843982115284
7,7,0.009,2.93006e-05,0.9803791840871176,118.0,862.0,890.0,158.0,0.4832347,0.11706349,0.42753622,0.18380062607893932
8,8,0.0013,2.0923e-06,1.0167747735977173,135.0,870.0,882.0,141.0,0.49556214,0.13274336,0.48913044,0.20881669299419905
9,9,0.0002,8.6429e-06,0.9742532785122212,165.0,856.0,896.0,111.0,0.5034517,0.15551366,0.59782606,0.24682123338953266
