,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0004,1.38017e-05,0.9686519702275594,157.0,893.0,859.0,119.0,0.51775146,0.15452756,0.56884056,0.2430340695032005
1,1,0.0003,7.206e-06,1.0190329490563808,145.0,778.0,974.0,131.0,0.4551282,0.12957998,0.5253623,0.20788531110178385
2,2,0.0089,1.2666e-05,0.9343131994589782,141.0,963.0,789.0,135.0,0.5443787,0.15161291,0.51086956,0.23383083458064033
3,3,0.0011,1.11426e-05,1.0071009397506714,115.0,832.0,920.0,161.0,0.46696252,0.11111111,0.41666666,0.17543858633697443
4,4,0.0092,8.524e-07,0.9734300466684195,127.0,879.0,873.0,149.0,0.49605522,0.127,0.46014494,0.19905955774730988
5,5,0.0063,5.843e-07,0.9859474041523079,148.0,866.0,886.0,128.0,0.5,0.14313346,0.5362319,0.225954190168522
6,6,0.0002,2.87857e-05,0.9128131163425935,119.0,979.0,773.0,157.0,0.5414201,0.13340807,0.4311594,0.20376712834952337
7,7,0.0001,8.285e-07,0.9157572037134415,120.0,1022.0,730.0,156.0,0.5631164,0.14117648,0.4347826,0.21314387420456815
8,8,0.0003,2.8747e-06,0.9012540181477865,152.0,998.0,754.0,124.0,0.5670611,0.16777042,0.5507246,0.2571912030731489
9,9,0.0001,1.0319e-06,0.9447660965797229,102.0,960.0,792.0,174.0,0.52366865,0.11409396,0.36956522,0.1743589787828621
