,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0001,2.4815e-06,0.9698866269527336,137.0,879.0,873.0,139.0,0.5009862,0.13564357,0.4963768,0.21306378095168577
1,1,0.009,9.386e-07,1.0358651479085288,141.0,798.0,954.0,135.0,0.46301776,0.12876712,0.51086956,0.20568927055871863
2,2,0.0002,3.246e-07,0.9730024215502616,153.0,886.0,866.0,123.0,0.51232743,0.1501472,0.5543478,0.2362934362934363
3,3,0.0013,1.0839e-06,0.9669352036256056,162.0,844.0,908.0,114.0,0.49605522,0.15140186,0.5869565,0.24071321171384477
4,4,0.0003,1.58572e-05,0.9713234809728769,107.0,884.0,868.0,169.0,0.4886588,0.10974359,0.38768116,0.17106313925541639
5,5,0.005,9.822e-07,1.0090973132695908,150.0,775.0,977.0,126.0,0.4561144,0.13309671,0.54347825,0.21382751225349844
6,6,0.0008,1.3633e-06,1.0223719554069715,181.0,701.0,1051.0,95.0,0.43491125,0.14691558,0.6557971,0.24005306118145278
7,7,0.0065,2.1471e-06,0.9727766880622277,162.0,876.0,876.0,114.0,0.5118343,0.15606937,0.5869565,0.24657533916909047
8,8,0.0004,1.5279e-06,0.9682756203871508,144.0,863.0,889.0,132.0,0.49654832,0.13939981,0.5217391,0.22001527036745439
9,9,0.0002,1.11362e-05,0.9726151441916442,131.0,868.0,884.0,145.0,0.49260354,0.12906404,0.4746377,0.20294345354869273
