,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0002,3.5941e-06,5.716318350571852,113.0,965.0,787.0,163.0,0.53155816,0.12555556,0.40942028,0.19217688505421204
1,1,0.0006,1.07451e-05,4.6728895260737495,177.0,768.0,984.0,99.0,0.46597633,0.15245478,0.6413044,0.24634654967996336
2,2,0.0003,3.7936e-06,4.773174188075922,130.0,860.0,892.0,146.0,0.48816568,0.12720157,0.4710145,0.20030817823123828
3,3,0.0004,1.83367e-05,5.140288670857748,120.0,902.0,850.0,156.0,0.50394475,0.12371134,0.4347826,0.19261637680279334
4,4,0.0001,5e-07,4.993877961085393,133.0,892.0,860.0,143.0,0.5054241,0.13393757,0.48188406,0.20961387359302935
5,5,0.0093,4.812e-07,5.069924012208596,138.0,940.0,812.0,138.0,0.53155816,0.14526317,0.5,0.22512234752053442
6,6,0.0004,5.1285e-06,4.9076480743212585,147.0,832.0,920.0,129.0,0.48274162,0.13776945,0.5326087,0.2189128839585816
7,7,0.0015,2.81937e-05,5.179057977138422,141.0,907.0,845.0,135.0,0.5167653,0.14300203,0.51086956,0.22345484038725102
8,8,0.0003,1.3744e-06,5.046092241238325,110.0,947.0,805.0,166.0,0.52120316,0.12021858,0.39855072,0.18471871389744707
9,9,0.0025,2.93734e-05,4.9039082649426575,146.0,865.0,887.0,130.0,0.4985207,0.14133592,0.5289855,0.223071062597817
