,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0081,2.4708e-06,0.8859817798321065,124.0,1012.0,740.0,152.0,0.5601578,0.14351852,0.44927537,0.21754386511756002
1,1,0.0003,1.5605e-05,0.9402939142324986,127.0,994.0,758.0,149.0,0.5527613,0.14350283,0.46014494,0.21877693463035258
2,2,0.0035,1.08141e-05,1.0684604064012184,163.0,704.0,1048.0,113.0,0.4275148,0.1345995,0.5905797,0.2192333564131243
3,3,0.0004,5.1547e-06,1.0260152511107616,144.0,810.0,942.0,132.0,0.4704142,0.13259669,0.5217391,0.21145374088182176
4,4,0.0002,2.04451e-05,1.0014247435789843,159.0,774.0,978.0,117.0,0.46005917,0.13984169,0.57608694,0.22505309380200575
5,5,0.0003,5.4627e-06,0.9414086739222208,118.0,951.0,801.0,158.0,0.5271203,0.12840043,0.42753622,0.19748953288541127
6,6,0.001,1.78489e-05,0.9674232739668627,136.0,874.0,878.0,140.0,0.49802762,0.13412228,0.49275362,0.21085272246537873
7,7,0.0006,6.5753e-06,0.9534540084692148,141.0,912.0,840.0,135.0,0.5192308,0.1437309,0.51086956,0.22434368237174243
8,8,0.0005,2.6795e-06,1.0176378182875805,131.0,838.0,914.0,145.0,0.47781065,0.12535885,0.4746377,0.1983345845413277
9,9,0.0014,1.892e-06,0.9585401186576257,124.0,895.0,857.0,152.0,0.5024655,0.12640163,0.44927537,0.19729514111136812
