,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0006,2.70417e-05,4.955508158757136,149.0,769.0,983.0,127.0,0.45266274,0.13162544,0.53985506,0.21164771542044816
1,1,0.0026,1.51206e-05,4.783660937578251,168.0,862.0,890.0,108.0,0.50788957,0.15879017,0.6086956,0.2518740668399828
2,2,0.0001,3.42e-07,4.884121356866299,146.0,814.0,938.0,130.0,0.4733728,0.13468635,0.5289855,0.2147058762775307
3,3,0.0002,1.61352e-05,5.138263946924454,117.0,981.0,771.0,159.0,0.5414201,0.13175675,0.42391303,0.2010309203706437
4,4,0.0068,7.5424e-06,5.1045888509505835,126.0,735.0,1017.0,150.0,0.42455623,0.11023622,0.45652175,0.17758985503786512
5,5,0.0002,4.6709e-06,4.980361767304249,128.0,873.0,879.0,148.0,0.49358973,0.12711023,0.46376812,0.19953234010814166
6,6,0.0008,1.5181e-06,4.436412224402794,163.0,800.0,952.0,113.0,0.4748521,0.14618833,0.5905797,0.23436375993494332
7,7,0.001,5.2961e-06,5.295249132009653,115.0,961.0,791.0,161.0,0.530572,0.12693156,0.41666666,0.1945854415511293
8,8,0.0064,2.44616e-05,5.128401976365309,129.0,918.0,834.0,147.0,0.5162722,0.13395639,0.4673913,0.20823245554042347
9,9,0.0026,1.99516e-05,5.611170866550543,122.0,888.0,864.0,154.0,0.49802762,0.123732254,0.442029,0.19334389778062325
