,0,1,2,3,4,5,6,7,8,9,10,11
0,0,0.0006,2.4406e-06,5.735062330197065,137.0,805.0,947.0,139.0,0.46449703,0.12638377,0.4963768,0.20147058499803172
1,1,0.0005,8.0272e-06,4.64630860548753,155.0,814.0,938.0,121.0,0.47781065,0.14181153,0.5615942,0.22644265112247156
2,2,0.0029,8.342e-06,4.740450321099697,153.0,873.0,879.0,123.0,0.50591713,0.14825581,0.5543478,0.2339449408974567
3,3,0.0004,1.2351e-06,5.13154421097193,118.0,907.0,845.0,158.0,0.5054241,0.122533746,0.42753622,0.19047617564142422
4,4,0.0025,7.765e-07,5.017312673422007,136.0,905.0,847.0,140.0,0.5133136,0.13835198,0.49275362,0.2160444721692413
5,5,0.0008,7.88e-07,4.907188965724065,134.0,817.0,935.0,142.0,0.46893492,0.12535079,0.48550725,0.19925649829433525
6,6,0.0008,8.2394e-06,5.087463978009346,135.0,817.0,935.0,141.0,0.469428,0.12616822,0.48913044,0.20059435495386127
7,7,0.004,2.7556e-06,5.065046518276899,119.0,864.0,888.0,157.0,0.484714,0.11817279,0.4311594,0.18550272263221598
8,8,0.0005,1.7474e-06,4.896369041540684,120.0,951.0,801.0,156.0,0.5281065,0.13029316,0.4347826,0.20050124741598402
9,9,0.0014,2.2668e-06,5.304121359800681,118.0,1009.0,743.0,158.0,0.5557199,0.13704994,0.42753622,0.20756375984672595
