,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.0219,0.0928,0.1432,0.197,0.1353,0.3656,0.0219,0.3247,0.1301,0.0026,0.0,0.0
BR_SVC,0.0116,0.0937,0.1287,0.1845,0.112,0.5297,0.0116,0.3673,0.0116,0.0,0.0,0.0
BR_DT,0.0013,0.1171,0.2204,0.2263,0.2475,0.2085,0.0013,0.594,0.2049,0.0374,0.0013,0.0
BR_GNB,0.0,0.1222,0.4598,0.2166,0.4887,0.1393,0.0,0.781,0.5103,0.2526,0.0928,0.0129
LP_LR,0.009,0.1178,0.1941,0.2324,0.2258,0.2398,0.009,0.4562,0.2539,0.0438,0.009,0.0013
LP_SVC,0.031,0.1185,0.1461,0.2968,0.2392,0.3928,0.031,0.46,0.3479,0.0,0.0,0.0
LP_DT,0.009,0.1188,0.2009,0.2281,0.2281,0.2281,0.009,0.4472,0.2487,0.0554,0.0168,0.0026
LP_GNB,0.0078,0.1216,0.1915,0.2246,0.2128,0.2394,0.0078,0.4266,0.2565,0.0297,0.0077,0.0
CC_LR,0.0194,0.0974,0.1595,0.1737,0.1291,0.2665,0.0194,0.2681,0.1598,0.0065,0.0026,0.0
CC_SVC,0.0129,0.086,0.129,0.1685,0.1009,0.5244,0.0129,0.3299,0.0116,0.0,0.0,0.0
CC_DT,0.0103,0.1161,0.2196,0.2277,0.2486,0.2102,0.0103,0.491,0.2667,0.0632,0.0193,0.0013
CC_GNB,0.0,0.1222,0.2931,0.2437,0.3631,0.1835,0.0,0.6559,0.4046,0.1327,0.0297,0.0039
RakelD_LR,0.0193,0.101,0.1548,0.2118,0.1599,0.3164,0.0193,0.3673,0.1598,0.0129,0.0013,0.0
RakelD_SVC,0.0258,0.093,0.1318,0.238,0.1601,0.483,0.0258,0.3892,0.1521,0.0,0.0,0.0
RakelD_DT,0.0,0.1206,0.2151,0.2274,0.2432,0.2136,0.0,0.5863,0.1907,0.0387,0.0065,0.0013
RakelD_GNB,0.0,0.1222,0.4081,0.2108,0.4184,0.141,0.0,0.7797,0.4175,0.1533,0.0502,0.0129
BRkNN,0.009,0.1181,0.2079,0.2056,0.2063,0.2051,0.009,0.4304,0.2204,0.0413,0.0065,0.0
MLkNN,0.009,0.1181,0.2079,0.2056,0.2063,0.2051,0.009,0.4304,0.2204,0.0413,0.0065,0.0
MLTSVM,0.0026,0.0359,0.2105,0.069,0.0601,0.0812,0.0026,0.1779,0.0206,0.0052,0.0,0.0
