,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1327,0.1305,0.0803,0.6429,0.5552,0.7645,0.1327,0.8196,0.6405,0.2874,0.1134,0.0129
BR_SVC,0.1096,0.1324,0.0868,0.5673,0.438,0.807,0.1096,0.6856,0.5399,0.1933,0.0593,0.0039
BR_DT,0.0387,0.1198,0.1366,0.4924,0.5088,0.478,0.0387,0.7861,0.5683,0.2616,0.0824,0.0181
BR_GNB,0.0026,0.1219,0.3431,0.3431,0.6873,0.2289,0.0026,0.8995,0.7049,0.4201,0.1972,0.0799
LP_LR,0.2062,0.127,0.0972,0.611,0.5872,0.6376,0.2062,0.8054,0.6572,0.3054,0.1636,0.0361
LP_SVC,0.1546,0.1255,0.1174,0.4983,0.4484,0.5618,0.1546,0.6907,0.5309,0.1675,0.0889,0.0206
LP_DT,0.0838,0.1222,0.1421,0.456,0.4572,0.4548,0.0838,0.7101,0.5142,0.2036,0.0889,0.0193
LP_GNB,0.1392,0.1249,0.1193,0.4806,0.4253,0.5536,0.1392,0.6611,0.4949,0.1701,0.0786,0.0181
CC_LR,0.165,0.1287,0.0795,0.655,0.5786,0.7554,0.165,0.817,0.6778,0.2848,0.1508,0.0168
CC_SVC,0.134,0.1291,0.0847,0.5873,0.4634,0.8042,0.134,0.701,0.549,0.2074,0.0967,0.0077
CC_DT,0.0477,0.1235,0.132,0.5097,0.5268,0.4945,0.0477,0.7938,0.5967,0.259,0.1043,0.0219
CC_GNB,0.009,0.1219,0.2462,0.3723,0.5612,0.2788,0.009,0.8067,0.5876,0.3247,0.1301,0.0348
RakelD_LR,0.1392,0.127,0.083,0.6404,0.5675,0.7348,0.1392,0.8286,0.634,0.2925,0.1353,0.0232
RakelD_SVC,0.1095,0.1326,0.0891,0.5548,0.4277,0.7938,0.1095,0.6753,0.5,0.1933,0.0683,0.0077
RakelD_DT,0.0387,0.1215,0.1362,0.4966,0.5158,0.4788,0.0387,0.8106,0.5734,0.2371,0.0928,0.0232
RakelD_GNB,0.0039,0.1222,0.2566,0.397,0.6492,0.2862,0.0039,0.8905,0.6663,0.3892,0.1766,0.0644
BRkNN,0.1498,0.125,0.1207,0.5438,0.5485,0.5393,0.1498,0.784,0.5901,0.2895,0.1544,0.0377
MLkNN,0.1498,0.125,0.1207,0.5438,0.5485,0.5393,0.1498,0.784,0.5901,0.2895,0.1544,0.0377
MLTSVM,0.0138,0.1967,0.1903,0.3251,0.3496,0.3039,0.0138,0.6655,0.3346,0.136,0.0478,0.0074
