,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1276,0.1262,0.0825,0.6262,0.5306,0.7651,0.1276,0.8054,0.6057,0.2487,0.1069,0.0193
BR_SVC,0.152,0.133,0.0811,0.6124,0.4922,0.8114,0.152,0.7436,0.5657,0.2255,0.0992,0.0168
BR_DT,0.0477,0.1261,0.1302,0.5214,0.5444,0.5006,0.0477,0.8389,0.5979,0.2655,0.1082,0.0245
BR_GNB,0.0,0.1222,0.3592,0.3491,0.7398,0.2286,0.0,0.8982,0.7539,0.4665,0.2577,0.0992
LP_LR,0.1856,0.1253,0.1006,0.6003,0.5801,0.622,0.1856,0.7976,0.6507,0.2939,0.1585,0.0412
LP_SVC,0.1688,0.1288,0.1106,0.5401,0.4985,0.5894,0.1688,0.7358,0.5606,0.2307,0.1173,0.0232
LP_DT,0.1082,0.1287,0.1409,0.4604,0.4617,0.4596,0.1082,0.7113,0.5077,0.2049,0.0954,0.0283
LP_GNB,0.1172,0.1277,0.1242,0.5172,0.5111,0.5236,0.1172,0.7307,0.5541,0.2719,0.1289,0.0284
CC_LR,0.1817,0.1311,0.0827,0.6352,0.553,0.747,0.1817,0.8003,0.6314,0.2642,0.1392,0.0232
CC_SVC,0.1714,0.1308,0.0838,0.6144,0.513,0.767,0.1714,0.7397,0.5954,0.2319,0.1301,0.0232
CC_DT,0.0567,0.1257,0.1293,0.5227,0.5443,0.5036,0.0567,0.7964,0.6211,0.2732,0.1224,0.0206
CC_GNB,0.0039,0.1222,0.2534,0.3881,0.6181,0.2831,0.0039,0.848,0.6521,0.3557,0.1546,0.0567
RakelD_LR,0.1572,0.1258,0.0832,0.6334,0.5523,0.7432,0.1572,0.8157,0.6276,0.2732,0.1173,0.0245
RakelD_SVC,0.1508,0.1293,0.0812,0.615,0.4982,0.8035,0.1508,0.7461,0.5799,0.2255,0.1031,0.0168
RakelD_DT,0.0399,0.1222,0.1299,0.519,0.5379,0.5015,0.0399,0.835,0.5889,0.2642,0.098,0.0245
RakelD_GNB,0.0026,0.1222,0.3033,0.3694,0.6836,0.2533,0.0026,0.8982,0.6817,0.4149,0.2204,0.0773
BRkNN,0.1241,0.1236,0.1229,0.5366,0.5427,0.5309,0.1241,0.7656,0.5772,0.2896,0.1581,0.0441
MLkNN,0.1241,0.1236,0.1229,0.5366,0.5427,0.5309,0.1241,0.7656,0.5772,0.2896,0.1581,0.0441
MLTSVM,0.0166,0.2172,0.1754,0.354,0.367,0.3428,0.0166,0.6489,0.3704,0.1627,0.0588,0.0101
