,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1237,0.128,0.0832,0.6319,0.5485,0.7454,0.1237,0.8273,0.6082,0.2745,0.1199,0.0219
BR_SVC,0.1379,0.1299,0.0851,0.5898,0.4705,0.7913,0.1379,0.7178,0.5412,0.2203,0.0928,0.0116
BR_DT,0.0438,0.1245,0.1318,0.5109,0.5283,0.495,0.0438,0.826,0.5786,0.2565,0.1005,0.0193
BR_GNB,0.0013,0.1222,0.3579,0.3284,0.6709,0.2175,0.0013,0.8904,0.6933,0.384,0.2088,0.0683
LP_LR,0.183,0.1244,0.1006,0.6026,0.5861,0.6202,0.183,0.8041,0.6404,0.3144,0.1765,0.0296
LP_SVC,0.1946,0.128,0.1088,0.5514,0.5135,0.596,0.1946,0.741,0.5825,0.2462,0.1186,0.0271
LP_DT,0.0966,0.1206,0.1406,0.4609,0.462,0.46,0.0966,0.6972,0.4768,0.2268,0.1147,0.0322
LP_GNB,0.125,0.1224,0.1193,0.532,0.5212,0.5435,0.125,0.75,0.5696,0.2629,0.134,0.0284
CC_LR,0.1611,0.1303,0.0851,0.637,0.5732,0.7172,0.1611,0.8222,0.6546,0.2835,0.1417,0.0284
CC_SVC,0.1559,0.1321,0.0884,0.596,0.5012,0.7357,0.1559,0.7294,0.5593,0.25,0.1276,0.0181
CC_DT,0.0567,0.1221,0.1345,0.5086,0.5341,0.4855,0.0567,0.7693,0.567,0.2925,0.134,0.0322
CC_GNB,0.0064,0.1222,0.2459,0.3637,0.54,0.2745,0.0064,0.7951,0.5618,0.29,0.1302,0.0335
RakelD_LR,0.1289,0.1266,0.0867,0.63,0.5665,0.7098,0.1289,0.8273,0.6328,0.2835,0.1301,0.0335
RakelD_SVC,0.1327,0.1295,0.0851,0.5968,0.4842,0.7794,0.1327,0.7319,0.5541,0.2358,0.0915,0.0142
RakelD_DT,0.0477,0.1216,0.1305,0.51,0.5218,0.4989,0.0477,0.8028,0.5773,0.2577,0.0979,0.0207
RakelD_GNB,0.0013,0.1222,0.2858,0.3656,0.6312,0.2575,0.0013,0.8801,0.6533,0.3583,0.1779,0.0528
BRkNN,0.1443,0.1246,0.1168,0.561,0.5694,0.5532,0.1443,0.7813,0.5965,0.3327,0.1673,0.0432
MLkNN,0.1443,0.1246,0.1168,0.561,0.5694,0.5532,0.1443,0.7813,0.5965,0.3327,0.1673,0.0432
MLTSVM,0.0119,0.2117,0.1768,0.3496,0.3623,0.3378,0.0119,0.6581,0.3667,0.148,0.0497,0.012
