,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1057,0.1273,0.0981,0.513,0.3979,0.7239,0.1057,0.6778,0.4742,0.1353,0.0554,0.0026
BR_SVC,0.0619,0.1211,0.1118,0.3468,0.228,0.7248,0.0619,0.4613,0.2616,0.0476,0.0013,0.0
BR_DT,0.0193,0.122,0.1618,0.404,0.4214,0.3883,0.0193,0.732,0.4614,0.1701,0.0515,0.009
BR_GNB,0.0026,0.1222,0.4988,0.2414,0.6084,0.1506,0.0026,0.8286,0.6044,0.3595,0.1778,0.0657
LP_LR,0.1276,0.1252,0.1271,0.478,0.4476,0.5135,0.1276,0.6675,0.5271,0.1856,0.0953,0.0219
LP_SVC,0.0954,0.1195,0.1351,0.4022,0.3491,0.4756,0.0954,0.558,0.4137,0.1056,0.0683,0.0181
LP_DT,0.0528,0.1226,0.162,0.3722,0.3689,0.3757,0.0528,0.6082,0.3956,0.1469,0.0761,0.0129
LP_GNB,0.0554,0.1218,0.1509,0.4062,0.3963,0.4168,0.0554,0.6379,0.4536,0.1573,0.0696,0.0129
CC_LR,0.1327,0.1231,0.0994,0.5241,0.4219,0.6931,0.1327,0.6753,0.5258,0.1379,0.0812,0.0052
CC_SVC,0.0644,0.1004,0.1119,0.306,0.1895,0.7958,0.0644,0.3402,0.2526,0.0477,0.0013,0.0
CC_DT,0.0464,0.1208,0.1597,0.4224,0.448,0.4001,0.0464,0.7139,0.4846,0.2023,0.0902,0.0193
CC_GNB,0.0026,0.1222,0.299,0.2788,0.4443,0.2036,0.0026,0.7152,0.4587,0.2294,0.0747,0.0206
RakelD_LR,0.0967,0.1279,0.1008,0.5238,0.4269,0.679,0.0967,0.7101,0.5026,0.1624,0.0606,0.0077
RakelD_SVC,0.0542,0.118,0.1147,0.3473,0.2356,0.6826,0.0542,0.4691,0.2822,0.0438,0.0026,0.0
RakelD_DT,0.0155,0.1195,0.1549,0.4168,0.4254,0.4087,0.0155,0.7384,0.4665,0.165,0.0593,0.009
RakelD_GNB,0.0,0.1222,0.3621,0.3064,0.6151,0.2043,0.0,0.8801,0.6263,0.3737,0.1521,0.0399
BRkNN,0.0588,0.1202,0.1512,0.4209,0.4193,0.4225,0.0588,0.6627,0.4577,0.1737,0.1011,0.0211
MLkNN,0.0588,0.1202,0.1512,0.4209,0.4193,0.4225,0.0588,0.6627,0.4577,0.1737,0.1011,0.0211
MLTSVM,0.0101,0.1447,0.1879,0.262,0.2541,0.272,0.0101,0.4834,0.2611,0.0919,0.0258,0.0037
