,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.143,0.1267,0.0838,0.6254,0.5378,0.7479,0.143,0.817,0.6417,0.2435,0.0954,0.0181
BR_SVC,0.1173,0.1332,0.0869,0.5674,0.4377,0.8069,0.1173,0.6985,0.5232,0.1791,0.0606,0.0129
BR_DT,0.0219,0.1232,0.143,0.482,0.5111,0.4561,0.0219,0.8106,0.5657,0.2475,0.0851,0.018
BR_GNB,0.0,0.1222,0.3182,0.3803,0.7497,0.2548,0.0,0.9098,0.7822,0.4794,0.2435,0.0889
LP_LR,0.1997,0.1253,0.1015,0.5947,0.5718,0.6195,0.1997,0.7912,0.652,0.2951,0.1456,0.0322
LP_SVC,0.1482,0.1252,0.1181,0.497,0.4478,0.5599,0.1482,0.692,0.5296,0.1701,0.0838,0.0206
LP_DT,0.0799,0.121,0.1426,0.4533,0.4541,0.4526,0.0799,0.692,0.5219,0.1894,0.1031,0.0181
LP_GNB,0.1288,0.1221,0.1219,0.4756,0.425,0.5404,0.1288,0.6482,0.4871,0.1804,0.0902,0.0168
CC_LR,0.1611,0.1278,0.0854,0.6236,0.5438,0.7316,0.1611,0.7964,0.6521,0.2474,0.1121,0.0206
CC_SVC,0.1624,0.1316,0.0849,0.5855,0.4609,0.8035,0.1624,0.6997,0.5503,0.1856,0.0915,0.0168
CC_DT,0.0387,0.1242,0.1426,0.4834,0.5127,0.4573,0.0387,0.7757,0.5774,0.2539,0.1031,0.0219
CC_GNB,0.0026,0.1222,0.2421,0.4168,0.6648,0.3038,0.0026,0.8789,0.7332,0.3917,0.1739,0.0528
RakelD_LR,0.1417,0.1273,0.0859,0.6251,0.5507,0.7242,0.1417,0.8183,0.6482,0.2681,0.1005,0.0219
RakelD_SVC,0.1173,0.1353,0.0884,0.5584,0.4296,0.7981,0.1173,0.6869,0.5065,0.1752,0.067,0.0103
RakelD_DT,0.0309,0.1232,0.14,0.4875,0.5112,0.4658,0.0309,0.808,0.5825,0.2397,0.0799,0.0155
RakelD_GNB,0.0026,0.1218,0.2578,0.3939,0.6439,0.2839,0.0026,0.8789,0.6881,0.3853,0.1598,0.0477
BRkNN,0.1425,0.1251,0.1188,0.5472,0.5482,0.5464,0.1425,0.7757,0.5965,0.2932,0.1544,0.0321
MLkNN,0.1425,0.1251,0.1188,0.5472,0.5482,0.5464,0.1425,0.7757,0.5965,0.2932,0.1544,0.0321
MLTSVM,0.0129,0.2121,0.1807,0.3451,0.3636,0.3286,0.0129,0.6755,0.3612,0.1553,0.0395,0.0056
