,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1263,0.1288,0.0836,0.6132,0.5089,0.772,0.1263,0.7784,0.5967,0.2204,0.1031,0.0129
BR_SVC,0.134,0.13,0.0872,0.5716,0.4469,0.7935,0.134,0.692,0.5193,0.1997,0.0683,0.0168
BR_DT,0.0528,0.1231,0.1365,0.4968,0.5174,0.4784,0.0528,0.8003,0.5773,0.2448,0.0979,0.0258
BR_GNB,0.0013,0.1222,0.3111,0.3779,0.7229,0.256,0.0013,0.8969,0.7551,0.4549,0.2307,0.0825
LP_LR,0.1752,0.1258,0.1056,0.5766,0.5517,0.6042,0.1752,0.7642,0.6405,0.2655,0.1482,0.0296
LP_SVC,0.143,0.1286,0.1156,0.5081,0.4589,0.5695,0.143,0.7152,0.54,0.1727,0.085,0.0206
LP_DT,0.0941,0.1232,0.1458,0.446,0.4507,0.4417,0.0941,0.6946,0.5193,0.1778,0.0953,0.0245
LP_GNB,0.1327,0.1232,0.1164,0.501,0.4492,0.5668,0.1327,0.6881,0.5425,0.174,0.0786,0.0207
CC_LR,0.1546,0.1299,0.0855,0.6138,0.5218,0.7466,0.1546,0.7732,0.6173,0.2242,0.1198,0.0193
CC_SVC,0.1611,0.1308,0.0861,0.5917,0.4792,0.774,0.1611,0.71,0.5528,0.21,0.1134,0.0181
CC_DT,0.0451,0.1209,0.1358,0.5008,0.5231,0.4806,0.0451,0.7629,0.5889,0.2655,0.116,0.0258
CC_GNB,0.0103,0.1222,0.2383,0.4014,0.6137,0.2982,0.0103,0.8428,0.6727,0.3492,0.1456,0.0464
RakelD_LR,0.1211,0.1306,0.0862,0.6141,0.5271,0.736,0.1211,0.8054,0.6108,0.2333,0.1082,0.0155
RakelD_SVC,0.1392,0.132,0.0878,0.5797,0.4652,0.7697,0.1392,0.7423,0.5309,0.1933,0.0735,0.0193
RakelD_DT,0.0502,0.1235,0.1348,0.4956,0.5085,0.4834,0.0502,0.8093,0.5644,0.2217,0.0979,0.0219
RakelD_GNB,0.0064,0.1222,0.2393,0.4208,0.665,0.3083,0.0064,0.8802,0.7075,0.3905,0.1907,0.0619
BRkNN,0.1084,0.1248,0.1284,0.5187,0.5275,0.5103,0.1084,0.7482,0.5689,0.2794,0.148,0.034
MLkNN,0.1084,0.1248,0.1284,0.5187,0.5275,0.5103,0.1084,0.7482,0.5689,0.2794,0.148,0.034
MLTSVM,0.0156,0.1829,0.188,0.3079,0.3191,0.2975,0.0156,0.5892,0.3024,0.1315,0.0469,0.0147
