,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.125,0.1278,0.0862,0.6085,0.5146,0.7443,0.125,0.799,0.5967,0.2294,0.1005,0.0116
BR_SVC,0.0709,0.1302,0.1039,0.4346,0.3071,0.7448,0.0709,0.5747,0.3776,0.0747,0.0129,0.0
BR_DT,0.049,0.1244,0.1319,0.5096,0.5261,0.4944,0.049,0.8183,0.5889,0.2577,0.0889,0.0219
BR_GNB,0.0013,0.1222,0.4834,0.2913,0.7616,0.1802,0.0013,0.9369,0.7899,0.4871,0.2577,0.0812
LP_LR,0.1688,0.1318,0.1054,0.57,0.5363,0.6082,0.1688,0.7706,0.6147,0.259,0.1289,0.0245
LP_SVC,0.0876,0.1226,0.126,0.4456,0.389,0.522,0.0876,0.6405,0.4806,0.1185,0.0644,0.0065
LP_DT,0.0786,0.125,0.1417,0.455,0.4547,0.4554,0.0786,0.7049,0.5103,0.1946,0.0902,0.0271
LP_GNB,0.1417,0.1264,0.1176,0.4984,0.4489,0.5607,0.1417,0.6869,0.5322,0.1882,0.0838,0.0142
CC_LR,0.1546,0.1282,0.0846,0.6262,0.5443,0.7373,0.1546,0.7913,0.6418,0.2526,0.1314,0.0181
CC_SVC,0.0773,0.1231,0.1028,0.4224,0.2892,0.7868,0.0773,0.5129,0.3711,0.0786,0.0168,0.0
CC_DT,0.0645,0.1271,0.1307,0.5135,0.5291,0.4991,0.0645,0.7886,0.5967,0.2668,0.107,0.0245
CC_GNB,0.0026,0.1222,0.284,0.3361,0.5548,0.2413,0.0026,0.8415,0.6005,0.2745,0.1134,0.0361
RakelD_LR,0.1173,0.1292,0.0921,0.5968,0.5234,0.6941,0.1173,0.7835,0.5967,0.2513,0.1186,0.0155
RakelD_SVC,0.0709,0.1281,0.105,0.4504,0.3311,0.7092,0.0709,0.6083,0.4098,0.0851,0.018,0.0
RakelD_DT,0.0412,0.1232,0.132,0.5072,0.5218,0.4935,0.0412,0.826,0.5721,0.2526,0.0863,0.0232
RakelD_GNB,0.0052,0.1222,0.3099,0.3427,0.6212,0.2367,0.0052,0.8905,0.6534,0.3492,0.1507,0.049
BRkNN,0.1213,0.1236,0.1204,0.5417,0.5425,0.541,0.1213,0.7666,0.5892,0.2831,0.1498,0.0478
MLkNN,0.1213,0.1236,0.1204,0.5417,0.5425,0.541,0.1213,0.7666,0.5892,0.2831,0.1498,0.0478
MLTSVM,0.0055,0.1823,0.2061,0.3096,0.3531,0.2762,0.0055,0.6719,0.3548,0.1323,0.0377,0.0065
