,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1521,0.1276,0.0771,0.661,0.5778,0.773,0.1521,0.8363,0.6611,0.2938,0.1366,0.0193
BR_SVC,0.1662,0.1359,0.0801,0.6238,0.51,0.8033,0.1662,0.7539,0.5812,0.2435,0.116,0.0168
BR_DT,0.0425,0.1245,0.1268,0.525,0.5382,0.5124,0.0425,0.8221,0.5889,0.268,0.1082,0.0284
BR_GNB,0.0026,0.1222,0.3123,0.3876,0.7588,0.2603,0.0026,0.9227,0.7732,0.469,0.2655,0.1031
LP_LR,0.2229,0.1269,0.0958,0.6196,0.5991,0.6418,0.2229,0.817,0.6598,0.317,0.1753,0.0399
LP_SVC,0.192,0.1317,0.1042,0.5666,0.523,0.6183,0.192,0.75,0.5851,0.2436,0.143,0.0296
LP_DT,0.1172,0.126,0.1302,0.4949,0.4895,0.5006,0.1172,0.7088,0.5219,0.2422,0.1327,0.0335
LP_GNB,0.1521,0.1283,0.1124,0.5294,0.4871,0.5802,0.1521,0.7177,0.5477,0.2268,0.1134,0.0232
CC_LR,0.1778,0.1279,0.0791,0.6652,0.6036,0.7414,0.1778,0.8325,0.6933,0.3067,0.1624,0.0348
CC_SVC,0.1817,0.133,0.0814,0.6291,0.5306,0.7733,0.1817,0.768,0.6121,0.25,0.1315,0.0193
CC_DT,0.0644,0.1238,0.128,0.5272,0.5478,0.5084,0.0644,0.8067,0.5967,0.2667,0.1392,0.0335
CC_GNB,0.0103,0.1222,0.2263,0.4227,0.637,0.3164,0.0103,0.8673,0.6894,0.3712,0.1547,0.0502
RakelD_LR,0.1469,0.1295,0.0806,0.6589,0.598,0.7343,0.1469,0.8557,0.6714,0.3054,0.1534,0.0271
RakelD_SVC,0.1533,0.1318,0.0817,0.6195,0.5109,0.7875,0.1533,0.768,0.5773,0.241,0.107,0.0206
RakelD_DT,0.0361,0.127,0.1267,0.5216,0.5303,0.5133,0.0361,0.8221,0.5721,0.2732,0.0992,0.0219
RakelD_GNB,0.0116,0.1222,0.2407,0.4308,0.6992,0.3113,0.0116,0.9072,0.741,0.4085,0.2126,0.0734
BRkNN,0.1673,0.127,0.1134,0.567,0.5657,0.5683,0.1673,0.7941,0.5965,0.3143,0.1682,0.0395
MLkNN,0.1673,0.127,0.1134,0.567,0.5657,0.5683,0.1673,0.7941,0.5965,0.3143,0.1682,0.0395
MLTSVM,0.0147,0.2242,0.1794,0.3575,0.3811,0.3368,0.0147,0.6802,0.3842,0.1507,0.0662,0.0138
