,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1302,0.132,0.0852,0.6064,0.5044,0.7613,0.1302,0.7822,0.5619,0.2307,0.1082,0.0168
BR_SVC,0.0632,0.124,0.1015,0.4518,0.3215,0.7618,0.0632,0.5876,0.3686,0.098,0.0348,0.0
BR_DT,0.0374,0.1223,0.1341,0.5055,0.5262,0.4864,0.0374,0.8299,0.5619,0.2667,0.0889,0.0219
BR_GNB,0.0,0.1222,0.4205,0.3163,0.745,0.2009,0.0,0.9214,0.7732,0.4781,0.2461,0.076
LP_LR,0.1714,0.1261,0.1048,0.578,0.5512,0.6076,0.1714,0.7668,0.6185,0.2873,0.1456,0.0309
LP_SVC,0.1366,0.1311,0.1183,0.485,0.428,0.5595,0.1366,0.6701,0.4987,0.1559,0.0812,0.0219
LP_DT,0.0799,0.1243,0.1451,0.4482,0.4536,0.4433,0.0799,0.674,0.4987,0.2126,0.1057,0.0284
LP_GNB,0.134,0.1254,0.1205,0.4934,0.4515,0.545,0.134,0.6804,0.5051,0.2023,0.1018,0.0219
CC_LR,0.1727,0.1292,0.0846,0.6215,0.5339,0.7451,0.1727,0.7706,0.6186,0.259,0.1263,0.0193
CC_SVC,0.076,0.1198,0.1001,0.4645,0.3352,0.7633,0.076,0.5902,0.3827,0.1134,0.049,0.0
CC_DT,0.0554,0.1198,0.1348,0.5037,0.5253,0.4839,0.0554,0.7861,0.5747,0.2616,0.1096,0.0309
CC_GNB,0.0039,0.1222,0.2763,0.353,0.5794,0.2538,0.0039,0.8479,0.6108,0.3222,0.1289,0.0335
RakelD_LR,0.1134,0.123,0.0866,0.6139,0.528,0.7335,0.1134,0.8003,0.5825,0.2616,0.1121,0.0219
RakelD_SVC,0.0696,0.1276,0.1013,0.4568,0.3277,0.7551,0.0696,0.5954,0.3801,0.0941,0.0322,0.0052
RakelD_DT,0.0412,0.1231,0.1351,0.5026,0.5243,0.483,0.0412,0.8183,0.5722,0.2539,0.0928,0.0271
RakelD_GNB,0.0013,0.1219,0.3001,0.3701,0.675,0.2554,0.0013,0.9085,0.7319,0.3995,0.183,0.049
BRkNN,0.148,0.1249,0.1246,0.5265,0.5284,0.5248,0.148,0.7454,0.5579,0.2812,0.1498,0.0487
MLkNN,0.148,0.1249,0.1246,0.5265,0.5284,0.5248,0.148,0.7454,0.5579,0.2812,0.1498,0.0487
MLTSVM,0.0101,0.199,0.1901,0.3292,0.3558,0.307,0.0101,0.6599,0.3483,0.1535,0.0432,0.0064
