,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1495,0.1274,0.0805,0.6558,0.5895,0.7392,0.1495,0.8363,0.6508,0.3105,0.1508,0.0309
BR_SVC,0.107,0.1207,0.0933,0.5304,0.4056,0.7706,0.107,0.6482,0.4523,0.1752,0.0876,0.0052
BR_DT,0.0309,0.1239,0.138,0.4852,0.5,0.472,0.0309,0.7964,0.5451,0.2423,0.0838,0.018
BR_GNB,0.0013,0.1222,0.335,0.3774,0.7798,0.2492,0.0013,0.9266,0.7925,0.509,0.2835,0.1044
LP_LR,0.1791,0.1244,0.1055,0.5871,0.5765,0.5981,0.1791,0.7977,0.6275,0.308,0.1662,0.0335
LP_SVC,0.156,0.1285,0.125,0.4658,0.4191,0.5246,0.156,0.6469,0.4626,0.1714,0.0954,0.0219
LP_DT,0.0928,0.1251,0.1394,0.4687,0.4721,0.4654,0.0928,0.7113,0.5078,0.2345,0.1108,0.0206
LP_GNB,0.1276,0.1252,0.1247,0.4797,0.442,0.525,0.1276,0.674,0.4549,0.2203,0.1069,0.0219
CC_LR,0.1856,0.1304,0.08,0.6669,0.6157,0.7277,0.1856,0.8376,0.6778,0.3415,0.1727,0.0373
CC_SVC,0.1121,0.1177,0.0925,0.5342,0.4083,0.7775,0.1121,0.6431,0.4575,0.1765,0.0953,0.0052
CC_DT,0.0438,0.1222,0.1388,0.4881,0.5081,0.4699,0.0438,0.7668,0.5619,0.2462,0.1134,0.0219
CC_GNB,0.0013,0.1222,0.2384,0.4092,0.6339,0.3021,0.0013,0.8479,0.6843,0.3763,0.1701,0.0503
RakelD_LR,0.134,0.1255,0.0883,0.6326,0.5846,0.6896,0.134,0.8299,0.6404,0.3196,0.143,0.0309
RakelD_SVC,0.107,0.1166,0.0935,0.5234,0.3953,0.7805,0.107,0.6237,0.4394,0.1714,0.0941,0.0052
RakelD_DT,0.0335,0.1228,0.135,0.4949,0.5077,0.4832,0.0335,0.8183,0.5438,0.232,0.0992,0.0181
RakelD_GNB,0.0026,0.1222,0.2845,0.3834,0.6784,0.2679,0.0026,0.8866,0.7087,0.4149,0.2023,0.0683
BRkNN,0.1388,0.1259,0.1236,0.5273,0.5258,0.5289,0.1388,0.7619,0.5533,0.2822,0.148,0.0321
MLkNN,0.1388,0.1259,0.1236,0.5273,0.5258,0.5289,0.1388,0.7619,0.5533,0.2822,0.148,0.0321
MLTSVM,0.0055,0.2013,0.2084,0.3301,0.3913,0.2857,0.0055,0.7123,0.3934,0.1673,0.0533,0.0065
