,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1379,0.1268,0.084,0.6241,0.5355,0.7491,0.1379,0.8042,0.6082,0.2629,0.107,0.0193
BR_SVC,0.0696,0.1308,0.1045,0.4445,0.3212,0.7228,0.0696,0.6018,0.3685,0.0966,0.0206,0.0
BR_DT,0.0245,0.1257,0.1429,0.4696,0.4858,0.4547,0.0245,0.8028,0.5181,0.2255,0.0747,0.0193
BR_GNB,0.0,0.1222,0.4264,0.3154,0.7538,0.1995,0.0,0.9227,0.7873,0.4794,0.2513,0.0812
LP_LR,0.1328,0.123,0.1227,0.5229,0.5162,0.5299,0.1328,0.7513,0.5722,0.2448,0.1289,0.0335
LP_SVC,0.1186,0.1228,0.1289,0.4523,0.4092,0.5063,0.1186,0.6418,0.4717,0.1546,0.0812,0.0181
LP_DT,0.0825,0.1222,0.1487,0.4337,0.438,0.4298,0.0825,0.674,0.4768,0.1984,0.0966,0.0258
LP_GNB,0.1018,0.1239,0.1321,0.4792,0.467,0.4922,0.1018,0.719,0.5013,0.2217,0.1044,0.0193
CC_LR,0.1752,0.1292,0.0819,0.6464,0.5743,0.7399,0.1752,0.8067,0.6585,0.2913,0.1482,0.0258
CC_SVC,0.0709,0.1263,0.1046,0.436,0.3106,0.7331,0.0709,0.5593,0.3686,0.1005,0.0232,0.0
CC_DT,0.0451,0.1228,0.1434,0.4798,0.5075,0.455,0.0451,0.7616,0.5515,0.2551,0.1121,0.0245
CC_GNB,0.0013,0.1222,0.2623,0.3555,0.5564,0.2614,0.0013,0.8415,0.5851,0.2874,0.1275,0.0309
RakelD_LR,0.125,0.1257,0.0888,0.6173,0.5492,0.7059,0.125,0.8132,0.6186,0.2745,0.1224,0.0181
RakelD_SVC,0.0618,0.1299,0.106,0.4442,0.3259,0.7036,0.0618,0.5992,0.3763,0.1057,0.0219,0.0
RakelD_DT,0.0271,0.1212,0.1429,0.4742,0.4948,0.4556,0.0271,0.8119,0.5271,0.2358,0.0786,0.0155
RakelD_GNB,0.0,0.1222,0.3257,0.3568,0.694,0.2403,0.0,0.9085,0.7294,0.4278,0.2113,0.0632
BRkNN,0.0744,0.1227,0.1357,0.481,0.4796,0.4825,0.0744,0.727,0.5331,0.2353,0.1057,0.0248
MLkNN,0.0744,0.1227,0.1357,0.481,0.4796,0.4825,0.0744,0.727,0.5331,0.2353,0.1057,0.0248
MLTSVM,0.0037,0.189,0.1993,0.3223,0.3613,0.2911,0.0037,0.6654,0.3658,0.148,0.045,0.0083
