,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1482,0.1319,0.0807,0.6364,0.5428,0.7694,0.1482,0.79,0.6199,0.268,0.1315,0.0168
BR_SVC,0.0876,0.1255,0.0999,0.4798,0.3543,0.7451,0.0876,0.6108,0.4253,0.1198,0.0438,0.0
BR_DT,0.0296,0.1224,0.1459,0.4764,0.5094,0.4478,0.0296,0.7848,0.5413,0.2577,0.1108,0.0206
BR_GNB,0.0,0.1222,0.4106,0.3241,0.7557,0.2064,0.0,0.9098,0.781,0.5064,0.2577,0.0824
LP_LR,0.1572,0.1229,0.1062,0.5826,0.5683,0.5983,0.1572,0.7796,0.6315,0.2964,0.1585,0.0413
LP_SVC,0.107,0.121,0.1248,0.4616,0.4114,0.5271,0.107,0.643,0.4884,0.1482,0.0773,0.0181
LP_DT,0.0786,0.1181,0.1419,0.4528,0.4513,0.4544,0.0786,0.6765,0.4974,0.2075,0.1108,0.0232
LP_GNB,0.0876,0.122,0.1283,0.5072,0.5071,0.5075,0.0876,0.7397,0.5554,0.2629,0.1198,0.0219
CC_LR,0.165,0.1281,0.0805,0.6457,0.564,0.7562,0.165,0.7976,0.6443,0.2784,0.1521,0.0232
CC_SVC,0.0966,0.1252,0.0995,0.4715,0.3416,0.763,0.0966,0.5721,0.4163,0.1211,0.0477,0.0
CC_DT,0.0515,0.1256,0.1536,0.4571,0.497,0.4234,0.0515,0.7422,0.5554,0.2475,0.1082,0.0193
CC_GNB,0.0,0.1222,0.2555,0.3691,0.574,0.2724,0.0,0.8286,0.6185,0.3145,0.1289,0.0387
RakelD_LR,0.1379,0.1278,0.0834,0.6342,0.555,0.7402,0.1379,0.808,0.6276,0.2797,0.1288,0.0219
RakelD_SVC,0.0928,0.1242,0.1014,0.4775,0.3563,0.7268,0.0928,0.6057,0.4214,0.1237,0.0541,0.0013
RakelD_DT,0.0258,0.1231,0.1429,0.4762,0.4986,0.456,0.0258,0.7835,0.5232,0.2539,0.0979,0.0232
RakelD_GNB,0.0026,0.1222,0.3175,0.3633,0.6951,0.2465,0.0026,0.8969,0.7204,0.4355,0.2152,0.0644
BRkNN,0.125,0.1246,0.1229,0.5344,0.5377,0.531,0.125,0.7583,0.5754,0.2895,0.1498,0.0423
MLkNN,0.125,0.1246,0.1229,0.5344,0.5377,0.531,0.125,0.7583,0.5754,0.2895,0.1498,0.0423
MLTSVM,0.0074,0.1721,0.2028,0.2947,0.324,0.2712,0.0074,0.6241,0.307,0.1186,0.045,0.0074
