,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1443,0.1296,0.0819,0.6454,0.5728,0.7392,0.1443,0.8325,0.6469,0.2912,0.1289,0.0257
BR_SVC,0.0838,0.1221,0.0957,0.5117,0.3852,0.7655,0.0838,0.6391,0.4253,0.1521,0.0644,0.0116
BR_DT,0.0258,0.1216,0.1358,0.5038,0.5292,0.4807,0.0258,0.826,0.585,0.259,0.0941,0.0181
BR_GNB,0.0064,0.1222,0.3456,0.3644,0.7607,0.2397,0.0064,0.9188,0.7913,0.5039,0.2706,0.0812
LP_LR,0.1907,0.1314,0.1017,0.598,0.5808,0.6166,0.1907,0.8003,0.6289,0.3157,0.1624,0.0386
LP_SVC,0.1456,0.1274,0.1208,0.4828,0.4337,0.5453,0.1456,0.6895,0.491,0.1765,0.0735,0.0193
LP_DT,0.1108,0.1213,0.142,0.4587,0.4622,0.4554,0.1108,0.6997,0.4974,0.2191,0.1095,0.0232
LP_GNB,0.0941,0.1214,0.1278,0.4572,0.4142,0.5105,0.0941,0.6469,0.4343,0.201,0.0838,0.0193
CC_LR,0.1907,0.1296,0.0814,0.6555,0.5946,0.7302,0.1907,0.8389,0.6624,0.3145,0.1546,0.0258
CC_SVC,0.0915,0.1224,0.0947,0.5164,0.3886,0.7731,0.0915,0.6315,0.433,0.1547,0.0709,0.0129
CC_DT,0.049,0.1216,0.1325,0.5139,0.5375,0.4924,0.049,0.7964,0.6083,0.2771,0.1031,0.0245
CC_GNB,0.009,0.1222,0.2401,0.3991,0.6115,0.2965,0.009,0.8441,0.6675,0.3698,0.1353,0.0374
RakelD_LR,0.1443,0.1286,0.0864,0.6377,0.5843,0.7018,0.1443,0.8595,0.6366,0.3003,0.1405,0.0284
RakelD_SVC,0.0735,0.1239,0.0969,0.5135,0.3928,0.7426,0.0735,0.6637,0.4369,0.1443,0.0606,0.0142
RakelD_DT,0.0464,0.1204,0.135,0.493,0.5042,0.4823,0.0464,0.7912,0.5528,0.2319,0.0966,0.0206
RakelD_GNB,0.0064,0.1222,0.2852,0.3806,0.6724,0.2655,0.0064,0.8904,0.7049,0.4059,0.2023,0.0554
BRkNN,0.1287,0.1259,0.1216,0.5344,0.5323,0.5371,0.1287,0.7821,0.5736,0.2932,0.125,0.0267
MLkNN,0.1287,0.1259,0.1216,0.5344,0.5323,0.5371,0.1287,0.7821,0.5736,0.2932,0.125,0.0267
MLTSVM,0.0083,0.1958,0.212,0.3233,0.3866,0.2785,0.0083,0.7022,0.3934,0.1618,0.0515,0.0101
