,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1508,0.1303,0.0827,0.6406,0.566,0.7385,0.1508,0.8235,0.6405,0.2951,0.1315,0.0168
BR_SVC,0.0786,0.1254,0.1003,0.4566,0.3242,0.7749,0.0786,0.5722,0.3956,0.0928,0.0374,0.0
BR_DT,0.0322,0.1207,0.1386,0.4915,0.5146,0.4704,0.0322,0.8067,0.5503,0.2565,0.0966,0.0245
BR_GNB,0.0,0.1222,0.4612,0.2637,0.6334,0.1665,0.0,0.875,0.6559,0.3583,0.1946,0.0528
LP_LR,0.134,0.1257,0.1149,0.5459,0.5302,0.5626,0.134,0.75,0.6069,0.2642,0.1353,0.0232
LP_SVC,0.1147,0.1303,0.1315,0.4254,0.3739,0.4937,0.1147,0.6224,0.4111,0.1211,0.0696,0.0206
LP_DT,0.0773,0.1269,0.1403,0.4704,0.4787,0.4625,0.0773,0.7294,0.5348,0.2255,0.1044,0.0193
LP_GNB,0.1082,0.1271,0.1287,0.475,0.4469,0.5072,0.1082,0.6868,0.4794,0.2203,0.0954,0.0168
CC_LR,0.1636,0.1302,0.0826,0.651,0.5918,0.7241,0.1636,0.835,0.6727,0.3144,0.152,0.0181
CC_SVC,0.0799,0.125,0.1003,0.4554,0.3227,0.7773,0.0799,0.5657,0.3943,0.0941,0.0386,0.0
CC_DT,0.0477,0.1188,0.1383,0.4926,0.516,0.4712,0.0477,0.7745,0.567,0.2642,0.1031,0.0258
CC_GNB,0.0013,0.1222,0.276,0.289,0.4318,0.2178,0.0013,0.71,0.4369,0.1984,0.1018,0.0129
RakelD_LR,0.1186,0.1261,0.0885,0.6214,0.558,0.702,0.1186,0.8119,0.6469,0.2783,0.1263,0.0168
RakelD_SVC,0.0734,0.123,0.1022,0.4555,0.33,0.7506,0.0734,0.5876,0.3943,0.1005,0.0348,0.0
RakelD_DT,0.0541,0.1228,0.1326,0.5025,0.5147,0.4911,0.0541,0.8054,0.5515,0.2603,0.0953,0.0245
RakelD_GNB,0.0,0.1222,0.337,0.3265,0.6286,0.2207,0.0,0.8917,0.6379,0.3583,0.1675,0.0515
BRkNN,0.1369,0.124,0.1199,0.5445,0.5469,0.5424,0.1369,0.7656,0.5919,0.3051,0.1507,0.0358
MLkNN,0.1369,0.124,0.1199,0.5445,0.5469,0.5424,0.1369,0.7656,0.5919,0.3051,0.1507,0.0358
MLTSVM,0.0037,0.1904,0.2036,0.3242,0.3723,0.2884,0.0037,0.6903,0.3778,0.1535,0.0404,0.0065
