,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1482,0.1279,0.0833,0.636,0.5588,0.7382,0.1482,0.8325,0.6224,0.2655,0.1237,0.0322
BR_SVC,0.0992,0.1239,0.0955,0.5047,0.3738,0.777,0.0992,0.6109,0.4111,0.152,0.0683,0.0116
BR_DT,0.0284,0.1209,0.1336,0.4898,0.4924,0.4875,0.0284,0.799,0.5374,0.2358,0.0812,0.009
BR_GNB,0.0,0.1222,0.3377,0.3701,0.7612,0.2447,0.0,0.9265,0.7887,0.4781,0.2668,0.0979
LP_LR,0.1662,0.1274,0.1096,0.5681,0.5535,0.5838,0.1662,0.7964,0.6237,0.268,0.1404,0.0284
LP_SVC,0.1392,0.127,0.1214,0.4803,0.4307,0.5429,0.1392,0.6726,0.4639,0.1791,0.0979,0.0232
LP_DT,0.107,0.1236,0.1378,0.4606,0.4518,0.4698,0.107,0.6817,0.4832,0.2139,0.1134,0.0219
LP_GNB,0.1224,0.1238,0.1252,0.4977,0.4762,0.5216,0.1224,0.7294,0.5,0.2423,0.1095,0.0181
CC_LR,0.1778,0.1284,0.0829,0.6482,0.5866,0.7246,0.1778,0.8312,0.6572,0.2951,0.152,0.0335
CC_SVC,0.1057,0.1197,0.095,0.5084,0.3773,0.7798,0.1057,0.6108,0.4176,0.1559,0.0696,0.0116
CC_DT,0.0606,0.121,0.1338,0.491,0.4955,0.4868,0.0606,0.7539,0.5451,0.241,0.0992,0.0284
CC_GNB,0.0,0.1222,0.2513,0.4045,0.6557,0.2928,0.0,0.8699,0.6997,0.3995,0.1765,0.0619
RakelD_LR,0.1289,0.1253,0.0907,0.6144,0.5557,0.6872,0.1289,0.817,0.634,0.2783,0.1134,0.0245
RakelD_SVC,0.1044,0.1177,0.0967,0.5084,0.3845,0.7523,0.1044,0.6301,0.4149,0.1585,0.0761,0.0116
RakelD_DT,0.04,0.1203,0.1356,0.4822,0.4847,0.4799,0.04,0.7809,0.5374,0.2217,0.0734,0.0181
RakelD_GNB,0.0,0.1222,0.2943,0.3662,0.6544,0.2553,0.0,0.884,0.6855,0.4227,0.1598,0.049
BRkNN,0.1149,0.1222,0.1308,0.4961,0.4907,0.5018,0.1149,0.7096,0.5074,0.2684,0.1471,0.0276
MLkNN,0.1149,0.1222,0.1308,0.4961,0.4907,0.5018,0.1149,0.7096,0.5074,0.2684,0.1471,0.0276
MLTSVM,0.0083,0.2138,0.1959,0.3453,0.3936,0.3078,0.0083,0.7049,0.3971,0.1655,0.0579,0.0138
