,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1546,0.129,0.0817,0.6526,0.5895,0.7317,0.1546,0.8363,0.6482,0.3183,0.1482,0.0335
BR_SVC,0.1392,0.1286,0.0882,0.5686,0.4476,0.7821,0.1392,0.6817,0.5077,0.2152,0.1057,0.0039
BR_DT,0.0425,0.127,0.1326,0.5068,0.5241,0.4908,0.0425,0.8235,0.5516,0.2642,0.1044,0.0232
BR_GNB,0.0,0.1222,0.3998,0.3474,0.8162,0.2207,0.0,0.9458,0.8389,0.54,0.2977,0.1018
LP_LR,0.1894,0.1283,0.1049,0.5864,0.5714,0.6027,0.1894,0.8054,0.6082,0.2951,0.1701,0.0386
LP_SVC,0.174,0.1316,0.1125,0.5338,0.4944,0.5816,0.174,0.7229,0.5554,0.2243,0.1211,0.0284
LP_DT,0.107,0.1224,0.1384,0.4728,0.4769,0.4691,0.107,0.7204,0.5219,0.2229,0.1044,0.0296
LP_GNB,0.0979,0.1249,0.1288,0.5111,0.5167,0.506,0.0979,0.7667,0.5503,0.2642,0.1237,0.0284
CC_LR,0.1972,0.1252,0.0841,0.6526,0.6066,0.7066,0.1972,0.8312,0.6701,0.3247,0.1662,0.0438
CC_SVC,0.1456,0.1258,0.0874,0.5749,0.4544,0.7844,0.1456,0.6675,0.509,0.2294,0.1185,0.0077
CC_DT,0.0838,0.1252,0.1335,0.4964,0.5051,0.488,0.0838,0.7423,0.5245,0.259,0.134,0.0348
CC_GNB,0.0026,0.1222,0.2579,0.3938,0.6422,0.2844,0.0026,0.8801,0.7229,0.3634,0.1392,0.0451
RakelD_LR,0.1469,0.1307,0.0877,0.6316,0.5782,0.6962,0.1469,0.8402,0.6353,0.3041,0.134,0.0309
RakelD_SVC,0.1353,0.1275,0.0895,0.5695,0.4548,0.7638,0.1353,0.6907,0.5181,0.2152,0.0992,0.0103
RakelD_DT,0.0373,0.1228,0.1335,0.4961,0.5051,0.4875,0.0373,0.8093,0.5438,0.2307,0.0967,0.0219
RakelD_GNB,0.0013,0.1222,0.3211,0.349,0.6612,0.2374,0.0013,0.8866,0.6804,0.4111,0.1881,0.0567
BRkNN,0.1618,0.1281,0.1196,0.5422,0.5402,0.5446,0.1618,0.7693,0.5717,0.2877,0.1562,0.0404
MLkNN,0.1618,0.1281,0.1196,0.5422,0.5402,0.5446,0.1618,0.7693,0.5717,0.2877,0.1562,0.0404
MLTSVM,0.0055,0.2122,0.1918,0.3478,0.3911,0.3142,0.0055,0.7261,0.3815,0.1608,0.0496,0.012
