,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1559,0.1298,0.0844,0.6439,0.5858,0.715,0.1559,0.8312,0.6327,0.3235,0.1482,0.0322
BR_SVC,0.1379,0.128,0.0879,0.578,0.4624,0.7718,0.1379,0.6946,0.5129,0.2229,0.1005,0.0206
BR_DT,0.0373,0.1253,0.1353,0.4961,0.5114,0.4818,0.0373,0.8106,0.5502,0.241,0.094,0.0296
BR_GNB,0.0,0.1222,0.339,0.3709,0.7671,0.2448,0.0,0.9266,0.7925,0.5,0.2629,0.0812
LP_LR,0.1843,0.1293,0.1071,0.5816,0.572,0.5915,0.1843,0.7951,0.6044,0.3093,0.1714,0.0399
LP_SVC,0.1856,0.1289,0.1115,0.5406,0.5044,0.5825,0.1856,0.7204,0.5193,0.2629,0.1508,0.0335
LP_DT,0.1173,0.1301,0.1347,0.4842,0.4854,0.4833,0.1173,0.71,0.5116,0.2358,0.1263,0.0373
LP_GNB,0.1186,0.1282,0.1277,0.5113,0.5138,0.5092,0.1186,0.7436,0.5206,0.2796,0.1353,0.0399
CC_LR,0.1972,0.1317,0.0846,0.6522,0.609,0.7024,0.1972,0.8286,0.6636,0.3325,0.1817,0.0361
CC_SVC,0.1572,0.1261,0.087,0.5834,0.4686,0.7741,0.1572,0.6933,0.5103,0.2345,0.1108,0.0219
CC_DT,0.0683,0.1209,0.1361,0.4896,0.5007,0.4795,0.0683,0.732,0.5258,0.2629,0.1263,0.0335
CC_GNB,0.0013,0.1222,0.2395,0.4076,0.6315,0.3014,0.0013,0.8595,0.6778,0.3569,0.1688,0.0528
RakelD_LR,0.1353,0.1254,0.0908,0.6227,0.5756,0.6783,0.1353,0.8351,0.6186,0.3222,0.125,0.0348
RakelD_SVC,0.1495,0.1274,0.0886,0.579,0.469,0.7591,0.1495,0.7165,0.509,0.2178,0.1057,0.0232
RakelD_DT,0.0605,0.1223,0.1332,0.5044,0.5206,0.4895,0.0605,0.8015,0.5541,0.2603,0.1108,0.0245
RakelD_GNB,0.0039,0.1222,0.282,0.3899,0.6919,0.2714,0.0039,0.8982,0.7216,0.4317,0.2023,0.0709
BRkNN,0.1443,0.127,0.1226,0.5316,0.5312,0.5323,0.1443,0.7611,0.5552,0.2831,0.1517,0.0441
MLkNN,0.1443,0.127,0.1226,0.5316,0.5312,0.5323,0.1443,0.7611,0.5552,0.2831,0.1517,0.0441
MLTSVM,0.012,0.2245,0.1785,0.364,0.3893,0.3418,0.012,0.6912,0.4062,0.1691,0.0469,0.0111
