,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.152,0.1279,0.083,0.6453,0.5804,0.7268,0.152,0.8467,0.6366,0.3054,0.1392,0.0296
BR_SVC,0.0902,0.1228,0.0945,0.5222,0.3976,0.7643,0.0902,0.6623,0.4536,0.1636,0.067,0.0
BR_DT,0.0283,0.1236,0.1439,0.4727,0.4955,0.4522,0.0283,0.7912,0.5451,0.2307,0.0851,0.0206
BR_GNB,0.0,0.1222,0.3433,0.3359,0.6647,0.225,0.0,0.8956,0.6907,0.3995,0.1856,0.0709
LP_LR,0.1688,0.1283,0.1127,0.5643,0.5612,0.5678,0.1688,0.79,0.6211,0.2835,0.1598,0.0322
LP_SVC,0.1392,0.1296,0.1225,0.4771,0.4292,0.5371,0.1392,0.6753,0.4858,0.1663,0.0877,0.0193
LP_DT,0.1018,0.124,0.1406,0.4634,0.4658,0.4616,0.1018,0.7088,0.509,0.2165,0.1096,0.0219
LP_GNB,0.1314,0.1274,0.1283,0.4852,0.4653,0.5077,0.1314,0.6946,0.491,0.2332,0.116,0.0219
CC_LR,0.1778,0.1257,0.0812,0.6601,0.606,0.7252,0.1778,0.8453,0.6727,0.3209,0.1611,0.0361
CC_SVC,0.0928,0.1229,0.0939,0.5247,0.3992,0.7689,0.0928,0.6611,0.4588,0.1624,0.0696,0.0
CC_DT,0.0451,0.1243,0.141,0.4823,0.5042,0.4624,0.0451,0.7603,0.5451,0.2487,0.1134,0.0271
CC_GNB,0.0039,0.1222,0.2362,0.3656,0.5227,0.2814,0.0039,0.7732,0.5477,0.2861,0.1237,0.0361
RakelD_LR,0.1263,0.1268,0.0899,0.6302,0.5881,0.6788,0.1263,0.8467,0.6508,0.3106,0.1366,0.0361
RakelD_SVC,0.0979,0.127,0.0949,0.5311,0.414,0.7446,0.0979,0.6817,0.4845,0.1688,0.0657,0.0013
RakelD_DT,0.027,0.1237,0.1436,0.4724,0.4936,0.4528,0.027,0.7835,0.5309,0.2551,0.0837,0.0142
RakelD_GNB,0.0026,0.1222,0.2647,0.3761,0.6108,0.272,0.0026,0.8596,0.6237,0.3389,0.1765,0.0567
BRkNN,0.1232,0.1219,0.1275,0.5181,0.523,0.5135,0.1232,0.7757,0.5698,0.2647,0.1305,0.0285
MLkNN,0.1232,0.1219,0.1275,0.5181,0.523,0.5135,0.1232,0.7757,0.5698,0.2647,0.1305,0.0285
MLTSVM,0.0046,0.1891,0.213,0.3174,0.3782,0.2737,0.0046,0.6958,0.3934,0.1406,0.0441,0.0138
