,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1572,0.1258,0.0819,0.6513,0.588,0.7305,0.1572,0.8247,0.634,0.3273,0.1533,0.0374
BR_SVC,0.107,0.1218,0.0915,0.5307,0.3977,0.8008,0.107,0.634,0.4498,0.1714,0.076,0.0077
BR_DT,0.0477,0.1244,0.1321,0.4985,0.5045,0.4928,0.0477,0.7926,0.5283,0.2564,0.1018,0.0206
BR_GNB,0.0,0.1222,0.3974,0.341,0.7881,0.2178,0.0,0.9497,0.808,0.5283,0.2629,0.0838
LP_LR,0.1598,0.1264,0.1094,0.5654,0.5464,0.5858,0.1598,0.7603,0.6044,0.2874,0.1379,0.0399
LP_SVC,0.1482,0.1321,0.1179,0.4982,0.4501,0.5586,0.1482,0.6624,0.4845,0.2139,0.1147,0.0258
LP_DT,0.125,0.1238,0.1338,0.4818,0.4774,0.4864,0.125,0.7165,0.4858,0.2358,0.1276,0.0348
LP_GNB,0.1198,0.1282,0.1217,0.4987,0.4653,0.5375,0.1198,0.7062,0.4858,0.2255,0.1172,0.0245
CC_LR,0.1766,0.1257,0.0841,0.6485,0.5967,0.7105,0.1766,0.8183,0.6521,0.326,0.1752,0.0348
CC_SVC,0.1147,0.1188,0.0911,0.5297,0.3946,0.8077,0.1147,0.616,0.4511,0.1714,0.0825,0.0077
CC_DT,0.0915,0.1235,0.1283,0.5108,0.5147,0.5075,0.0915,0.75,0.558,0.259,0.1392,0.0258
CC_GNB,0.0013,0.1222,0.2657,0.3751,0.6117,0.2707,0.0013,0.866,0.6663,0.3235,0.1366,0.0554
RakelD_LR,0.143,0.1243,0.0883,0.6277,0.5724,0.6951,0.143,0.8286,0.616,0.3067,0.1418,0.0309
RakelD_SVC,0.1134,0.1199,0.0919,0.5376,0.4112,0.7812,0.1134,0.643,0.4678,0.1791,0.076,0.0142
RakelD_DT,0.0451,0.1241,0.1327,0.4954,0.5012,0.4899,0.0451,0.8054,0.5361,0.2281,0.1044,0.0155
RakelD_GNB,0.0,0.1222,0.316,0.3602,0.6824,0.2446,0.0,0.9188,0.6985,0.424,0.201,0.0503
BRkNN,0.1516,0.1269,0.12,0.5402,0.5377,0.5426,0.1516,0.7674,0.5644,0.2822,0.1535,0.046
MLkNN,0.1516,0.1269,0.12,0.5402,0.5377,0.5426,0.1516,0.7674,0.5644,0.2822,0.1535,0.046
MLTSVM,0.0064,0.2069,0.1922,0.3392,0.3764,0.3089,0.0064,0.6958,0.3823,0.1498,0.0432,0.012
