,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1456,0.1309,0.0849,0.6407,0.5808,0.7146,0.1456,0.8273,0.643,0.3119,0.1405,0.0322
BR_SVC,0.1108,0.1277,0.0919,0.5435,0.421,0.7688,0.1108,0.6765,0.451,0.192,0.0747,0.0168
BR_DT,0.0296,0.1226,0.1416,0.4744,0.4911,0.4592,0.0296,0.7783,0.5116,0.2539,0.0902,0.0232
BR_GNB,0.0,0.1222,0.365,0.3594,0.7846,0.2334,0.0,0.9317,0.7874,0.5257,0.2681,0.107
LP_LR,0.1546,0.1241,0.115,0.551,0.542,0.5608,0.1546,0.7745,0.576,0.2835,0.1546,0.0322
LP_SVC,0.1765,0.1302,0.1189,0.5042,0.4649,0.5512,0.1765,0.6868,0.4871,0.2242,0.1237,0.0297
LP_DT,0.1005,0.124,0.1429,0.4604,0.4687,0.4526,0.1005,0.7036,0.4961,0.2293,0.1095,0.0322
LP_GNB,0.1173,0.1209,0.1255,0.5104,0.5026,0.5188,0.1173,0.7281,0.5206,0.2732,0.1431,0.0206
CC_LR,0.192,0.1299,0.0851,0.6515,0.6102,0.6992,0.192,0.826,0.6675,0.3402,0.1688,0.0477
CC_SVC,0.1172,0.1222,0.0925,0.5346,0.4092,0.7731,0.1172,0.6431,0.4395,0.1881,0.0825,0.0168
CC_DT,0.0516,0.1237,0.1509,0.4551,0.4835,0.43,0.0516,0.7371,0.5206,0.2307,0.1082,0.0283
CC_GNB,0.0026,0.1222,0.2477,0.3998,0.6327,0.2926,0.0026,0.8583,0.6907,0.3582,0.1559,0.0567
RakelD_LR,0.1404,0.1282,0.0936,0.6154,0.5752,0.6617,0.1404,0.8338,0.6366,0.3067,0.1237,0.0335
RakelD_SVC,0.116,0.1292,0.0929,0.5434,0.4255,0.7539,0.116,0.6752,0.4485,0.2036,0.0812,0.0181
RakelD_DT,0.0309,0.1214,0.1394,0.4856,0.5052,0.4674,0.0309,0.8132,0.5283,0.2449,0.0928,0.0219
RakelD_GNB,0.0,0.1222,0.2891,0.3785,0.6755,0.263,0.0,0.8879,0.719,0.3995,0.1984,0.0683
BRkNN,0.137,0.1275,0.1243,0.525,0.524,0.526,0.137,0.7647,0.5432,0.2812,0.1416,0.0395
MLkNN,0.137,0.1275,0.1243,0.525,0.524,0.526,0.137,0.7647,0.5432,0.2812,0.1416,0.0395
MLTSVM,0.0064,0.2148,0.1898,0.354,0.3974,0.3195,0.0064,0.6792,0.4163,0.1701,0.0644,0.0193
