,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1379,0.1283,0.0822,0.6438,0.5709,0.7389,0.1379,0.8247,0.6392,0.3002,0.1353,0.0245
BR_SVC,0.0902,0.1158,0.093,0.5163,0.3817,0.8012,0.0902,0.6044,0.4124,0.1817,0.0838,0.0065
BR_DT,0.0245,0.1202,0.1411,0.4714,0.483,0.4608,0.0245,0.7822,0.4974,0.2397,0.0915,0.0193
BR_GNB,0.0026,0.1222,0.3438,0.3695,0.772,0.2432,0.0026,0.9382,0.7874,0.4935,0.2719,0.1031
LP_LR,0.1675,0.1273,0.1094,0.5663,0.5481,0.5857,0.1675,0.7848,0.5928,0.2758,0.1559,0.0322
LP_SVC,0.1624,0.1286,0.1167,0.4971,0.4439,0.5654,0.1624,0.6804,0.4884,0.1869,0.1095,0.0193
LP_DT,0.1082,0.127,0.1399,0.4624,0.4613,0.4636,0.1082,0.6972,0.4897,0.2307,0.107,0.0258
LP_GNB,0.1172,0.1277,0.1266,0.4806,0.4508,0.5153,0.1172,0.6727,0.482,0.2242,0.1095,0.0206
CC_LR,0.1675,0.1269,0.0822,0.6539,0.5964,0.7241,0.1675,0.8247,0.6701,0.3209,0.156,0.0322
CC_SVC,0.0966,0.1132,0.0931,0.5154,0.3813,0.7994,0.0966,0.5928,0.4175,0.1817,0.0876,0.0065
CC_DT,0.0386,0.1199,0.1404,0.4749,0.4872,0.4635,0.0386,0.7539,0.5167,0.25,0.1095,0.0142
CC_GNB,0.0,0.1222,0.2415,0.4092,0.6412,0.3009,0.0,0.8582,0.6895,0.3866,0.1675,0.0554
RakelD_LR,0.1289,0.1266,0.0878,0.632,0.5792,0.6966,0.1289,0.8441,0.6353,0.3003,0.1392,0.0296
RakelD_SVC,0.0953,0.1179,0.0943,0.515,0.3848,0.7809,0.0953,0.6043,0.4214,0.1778,0.0825,0.0116
RakelD_DT,0.0168,0.1208,0.1421,0.464,0.4734,0.4551,0.0168,0.7706,0.4846,0.2319,0.094,0.0142
RakelD_GNB,0.0013,0.1222,0.2785,0.3901,0.6826,0.2735,0.0013,0.9201,0.701,0.4239,0.1907,0.0722
BRkNN,0.1112,0.1254,0.127,0.5131,0.5102,0.5162,0.1112,0.7279,0.5377,0.2739,0.1425,0.0413
MLkNN,0.1112,0.1254,0.127,0.5131,0.5102,0.5162,0.1112,0.7279,0.5377,0.2739,0.1425,0.0413
MLTSVM,0.0092,0.2,0.2015,0.3308,0.3799,0.293,0.0092,0.6949,0.3888,0.1498,0.0561,0.0046
