,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1005,0.1308,0.0937,0.557,0.4525,0.7251,0.1005,0.7461,0.5077,0.1843,0.0812,0.009
BR_SVC,0.058,0.1197,0.1136,0.3548,0.2401,0.6804,0.058,0.4949,0.2371,0.0619,0.0193,0.0
BR_DT,0.0284,0.1232,0.1464,0.4599,0.4791,0.4427,0.0284,0.8015,0.527,0.1946,0.0709,0.0219
BR_GNB,0.0,0.1222,0.4454,0.2853,0.681,0.1805,0.0,0.8918,0.6985,0.4149,0.2191,0.0632
LP_LR,0.1404,0.1269,0.1178,0.5153,0.4807,0.5552,0.1404,0.7242,0.5503,0.2049,0.1018,0.0271
LP_SVC,0.1057,0.1218,0.1304,0.4248,0.3701,0.499,0.1057,0.5838,0.4497,0.1108,0.0696,0.0193
LP_DT,0.0734,0.1224,0.1603,0.3915,0.3962,0.3872,0.0734,0.6211,0.4252,0.165,0.0864,0.0284
LP_GNB,0.116,0.1236,0.1318,0.4382,0.3959,0.4918,0.116,0.6211,0.442,0.1547,0.0838,0.0219
CC_LR,0.1301,0.1266,0.0938,0.5633,0.465,0.7148,0.1301,0.7178,0.5516,0.1804,0.1005,0.0129
CC_SVC,0.0683,0.1117,0.1127,0.3412,0.2245,0.7129,0.0683,0.4227,0.2513,0.0644,0.0219,0.0
CC_DT,0.0387,0.123,0.1463,0.4558,0.4712,0.4416,0.0387,0.732,0.5219,0.2217,0.0902,0.0207
CC_GNB,0.0052,0.1222,0.2842,0.3178,0.5077,0.2314,0.0052,0.799,0.5245,0.2526,0.1082,0.0245
RakelD_LR,0.0928,0.1248,0.0963,0.5605,0.4715,0.6912,0.0928,0.7603,0.5296,0.2087,0.0799,0.0103
RakelD_SVC,0.0541,0.1188,0.1166,0.3571,0.2511,0.6375,0.0541,0.5232,0.2462,0.0618,0.0193,0.0
RakelD_DT,0.0271,0.1221,0.1477,0.4505,0.4651,0.437,0.0271,0.7926,0.4962,0.2036,0.0618,0.0155
RakelD_GNB,0.0,0.1222,0.3144,0.3281,0.5928,0.2274,0.0,0.8402,0.6018,0.3492,0.1675,0.0361
BRkNN,0.0975,0.1241,0.1376,0.4744,0.474,0.4754,0.0975,0.7114,0.5267,0.2261,0.1094,0.0285
MLkNN,0.0975,0.1241,0.1376,0.4744,0.474,0.4754,0.0975,0.7114,0.5267,0.2261,0.1094,0.0285
MLTSVM,0.0065,0.1719,0.1722,0.2999,0.2817,0.3217,0.0065,0.5855,0.262,0.0891,0.0193,0.0056
