,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1443,0.1314,0.0828,0.6324,0.547,0.7505,0.1443,0.8235,0.625,0.2668,0.1108,0.0168
BR_SVC,0.1263,0.1297,0.0848,0.5964,0.4808,0.7866,0.1263,0.7474,0.549,0.2203,0.0889,0.0116
BR_DT,0.049,0.1261,0.1355,0.5059,0.5327,0.4818,0.049,0.8286,0.576,0.2603,0.107,0.0232
BR_GNB,0.0013,0.1222,0.3436,0.3707,0.776,0.2438,0.0013,0.933,0.8106,0.4949,0.2616,0.0992
LP_LR,0.192,0.1259,0.103,0.5941,0.5796,0.6097,0.192,0.7822,0.6418,0.3106,0.1662,0.0387
LP_SVC,0.1662,0.1254,0.1086,0.5512,0.5121,0.5969,0.1662,0.7384,0.5747,0.2436,0.1289,0.0271
LP_DT,0.0915,0.1251,0.1349,0.4794,0.4771,0.482,0.0915,0.7114,0.5181,0.2371,0.1082,0.0296
LP_GNB,0.1469,0.126,0.1172,0.5135,0.4752,0.5589,0.1469,0.6817,0.5206,0.2423,0.1237,0.0219
CC_LR,0.1585,0.1281,0.0873,0.6262,0.5611,0.7092,0.1585,0.8067,0.6379,0.2771,0.1456,0.0219
CC_SVC,0.1546,0.1269,0.0891,0.5979,0.5085,0.7264,0.1546,0.7358,0.5696,0.2436,0.1353,0.0206
CC_DT,0.0812,0.1261,0.1323,0.5154,0.5402,0.4927,0.0812,0.7822,0.5889,0.2809,0.1224,0.0412
CC_GNB,0.0052,0.1222,0.244,0.4076,0.6449,0.2981,0.0052,0.8827,0.6997,0.3673,0.1688,0.0476
RakelD_LR,0.1276,0.1272,0.0864,0.6297,0.5641,0.7131,0.1276,0.8351,0.6379,0.2783,0.1211,0.0284
RakelD_SVC,0.1224,0.1288,0.0862,0.5936,0.4834,0.7711,0.1224,0.7513,0.5541,0.2165,0.0863,0.0155
RakelD_DT,0.0322,0.1236,0.1295,0.5149,0.5276,0.5029,0.0322,0.8196,0.5644,0.2706,0.1018,0.0232
RakelD_GNB,0.0052,0.1222,0.265,0.4041,0.6902,0.2863,0.0052,0.9021,0.7229,0.4266,0.2062,0.0619
BRkNN,0.1305,0.1233,0.1191,0.5491,0.5532,0.5452,0.1305,0.773,0.5983,0.3005,0.1535,0.0459
MLkNN,0.1305,0.1233,0.1191,0.5491,0.5532,0.5452,0.1305,0.773,0.5983,0.3005,0.1535,0.0459
MLTSVM,0.0147,0.2196,0.1799,0.3496,0.3687,0.333,0.0147,0.6774,0.3759,0.1443,0.0505,0.0074
