,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.1392,0.1282,0.0805,0.6431,0.5565,0.7621,0.1392,0.8389,0.6288,0.2642,0.1199,0.0245
BR_SVC,0.1469,0.1342,0.0815,0.6098,0.4892,0.8095,0.1469,0.7616,0.549,0.2113,0.1057,0.0168
BR_DT,0.0386,0.1224,0.1253,0.5292,0.5412,0.5186,0.0386,0.8196,0.5967,0.2719,0.1108,0.0245
BR_GNB,0.0052,0.1232,0.281,0.4076,0.7413,0.2812,0.0052,0.9291,0.7642,0.46,0.2552,0.0838
LP_LR,0.2036,0.1246,0.1007,0.602,0.584,0.6213,0.2036,0.7951,0.6379,0.3118,0.1714,0.0425
LP_SVC,0.1907,0.1301,0.1081,0.5503,0.5076,0.6008,0.1907,0.7526,0.5644,0.2281,0.125,0.0284
LP_DT,0.1134,0.1242,0.1357,0.4728,0.4676,0.4782,0.1134,0.7307,0.5155,0.1946,0.1031,0.0258
LP_GNB,0.1572,0.1236,0.1118,0.5308,0.4858,0.585,0.1572,0.7126,0.5219,0.2449,0.1289,0.0206
CC_LR,0.1765,0.1266,0.0812,0.6513,0.5816,0.7406,0.1765,0.8312,0.6559,0.2861,0.1521,0.0309
CC_SVC,0.1881,0.1312,0.081,0.628,0.5245,0.7833,0.1881,0.7706,0.6031,0.2294,0.1379,0.0206
CC_DT,0.0606,0.1224,0.1271,0.5271,0.5439,0.5117,0.0606,0.7758,0.6134,0.2899,0.1237,0.0271
CC_GNB,0.0103,0.1232,0.2205,0.4354,0.653,0.3266,0.0103,0.8879,0.6997,0.384,0.1791,0.0477
RakelD_LR,0.1598,0.129,0.0833,0.6438,0.5775,0.7276,0.1598,0.8518,0.6392,0.29,0.1392,0.0245
RakelD_SVC,0.1443,0.1316,0.082,0.6113,0.4965,0.7966,0.1443,0.7629,0.5541,0.2229,0.1095,0.0181
RakelD_DT,0.0464,0.1222,0.1277,0.5248,0.5416,0.5092,0.0464,0.8273,0.5863,0.2719,0.1186,0.0219
RakelD_GNB,0.0039,0.1235,0.2348,0.4291,0.6775,0.3143,0.0039,0.9098,0.7139,0.4034,0.192,0.0567
BRkNN,0.1553,0.1231,0.1158,0.5594,0.5612,0.5578,0.1553,0.7739,0.5956,0.3134,0.1728,0.0423
MLkNN,0.1553,0.1231,0.1158,0.5594,0.5612,0.5578,0.1553,0.7739,0.5956,0.3134,0.1728,0.0423
MLTSVM,0.0147,0.2138,0.1825,0.348,0.3725,0.3272,0.0147,0.6847,0.3677,0.1544,0.0505,0.0092
