,accuracy,hamming_score,hamming_loss,f1_score,recall,precision,emr,1mr,2mr,3mr,4mr,5mr
BR_LR,0.0992,0.1297,0.0926,0.5554,0.4445,0.741,0.0992,0.7242,0.5284,0.1559,0.0683,0.0168
BR_SVC,0.0928,0.1274,0.0992,0.4667,0.3344,0.7755,0.0928,0.6018,0.3905,0.0837,0.0335,0.0116
BR_DT,0.0206,0.1228,0.1548,0.4449,0.4769,0.4172,0.0206,0.8028,0.5193,0.2075,0.0657,0.0155
BR_GNB,0.0,0.1222,0.3347,0.3567,0.7123,0.238,0.0,0.8982,0.741,0.433,0.2229,0.0838
LP_LR,0.1289,0.1268,0.1115,0.5434,0.5093,0.5827,0.1289,0.7461,0.6044,0.2152,0.1108,0.027
LP_SVC,0.1327,0.123,0.1166,0.4822,0.4176,0.5713,0.1327,0.6521,0.5232,0.1263,0.0735,0.0193
LP_DT,0.0696,0.1264,0.1501,0.4233,0.423,0.4237,0.0696,0.6675,0.4935,0.1559,0.0786,0.0206
LP_GNB,0.0889,0.1248,0.1295,0.4668,0.4354,0.5033,0.0889,0.6765,0.5026,0.1727,0.0851,0.0206
CC_LR,0.1392,0.1248,0.0934,0.5661,0.4681,0.717,0.1392,0.7229,0.5722,0.1611,0.0954,0.0168
CC_SVC,0.1044,0.1206,0.0994,0.4813,0.3557,0.7484,0.1044,0.5889,0.4214,0.1121,0.0567,0.0129
CC_DT,0.0425,0.1222,0.1563,0.4424,0.4766,0.413,0.0425,0.7268,0.5464,0.2216,0.0877,0.0193
CC_GNB,0.0052,0.1222,0.2553,0.3833,0.6087,0.2798,0.0052,0.8492,0.6559,0.3441,0.1456,0.0476
RakelD_LR,0.1211,0.1328,0.0916,0.5729,0.4719,0.7322,0.1211,0.7474,0.5412,0.1869,0.0902,0.0168
RakelD_SVC,0.094,0.1284,0.0993,0.4691,0.3375,0.7708,0.094,0.5863,0.4033,0.0915,0.0373,0.0129
RakelD_DT,0.0322,0.1204,0.1487,0.4536,0.4742,0.4353,0.0322,0.7783,0.531,0.201,0.0709,0.0155
RakelD_GNB,0.0116,0.1222,0.263,0.392,0.651,0.2806,0.0116,0.8801,0.6688,0.3853,0.1907,0.0567
BRkNN,0.1029,0.122,0.1335,0.498,0.5049,0.4917,0.1029,0.7196,0.5726,0.2509,0.1268,0.0358
MLkNN,0.1029,0.122,0.1335,0.498,0.5049,0.4917,0.1029,0.7196,0.5726,0.2509,0.1268,0.0358
MLTSVM,0.0129,0.1573,0.175,0.2866,0.2678,0.3088,0.0129,0.5175,0.2546,0.1038,0.0322,0.0046
